class_index,canonical_label,citizen_raw_gloss,citizen_asl_lex_code,asllex_entry_id,asllex_reference_url,review_status,reviewer_id,reviewed_utc,review_notes
0,I,ME,B_01_068,me,https://asl-lex.org/visualization/?sign=me,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
1,YOU,YOU,D_02_065,you,https://asl-lex.org/visualization/?sign=you,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
2,WE,WE,G_03_019,we,https://asl-lex.org/visualization/?sign=we,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
3,THEY,THEY1,F_02_103,they_2,https://asl-lex.org/visualization/?sign=they_2,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
4,HE,HE,F_02_044,he,https://asl-lex.org/visualization/?sign=he,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
5,MY,MY,C_01_060,my,https://asl-lex.org/visualization/?sign=my,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
6,YOUR,YOUR,F_01_052,your,https://asl-lex.org/visualization/?sign=your,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
7,OUR,OUR,G_02_067,our,https://asl-lex.org/visualization/?sign=our,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
8,WHAT,WHAT1,D_02_094,what_2,https://asl-lex.org/visualization/?sign=what_2,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
9,WHERE,WHERE,B_02_035,where,https://asl-lex.org/visualization/?sign=where,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
10,WHEN,WHEN,C_03_086,when,https://asl-lex.org/visualization/?sign=when,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
11,WHO,WHO,C_01_041,who,https://asl-lex.org/visualization/?sign=who,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
12,WHY,WHY,D_01_067,why,https://asl-lex.org/visualization/?sign=why,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
13,HOW,HOW1,D_02_082,how,https://asl-lex.org/visualization/?sign=how,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
14,HELLO,HELLO,D_02_055,hello,https://asl-lex.org/visualization/?sign=hello,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
15,GOODBYE,BYE,E_01_058,bye,https://asl-lex.org/visualization/?sign=bye,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
16,PLEASE,PLEASE,B_02_007,please,https://asl-lex.org/visualization/?sign=please,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
17,THANKYOU,THANKYOU,H_02_053,thank_you,https://asl-lex.org/visualization/?sign=thank_you,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
18,SORRY,SORRY,C_01_020,sorry,https://asl-lex.org/visualization/?sign=sorry,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
19,YES,YES,G_03_074,yes,https://asl-lex.org/visualization/?sign=yes,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
20,NO,NO,C_03_041,no,https://asl-lex.org/visualization/?sign=no,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
21,MAYBE,MAYBE,B_03_022,maybe,https://asl-lex.org/visualization/?sign=maybe,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
22,HELP,HELP,D_01_042,help,https://asl-lex.org/visualization/?sign=help,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
23,WANT,WANT1,E_01_025,want_2,https://asl-lex.org/visualization/?sign=want_2,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
24,NEED,NEED,C_02_034,need,https://asl-lex.org/visualization/?sign=need,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
25,LIKE,LIKE,F_03_063,like,https://asl-lex.org/visualization/?sign=like,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
26,LOVE,LOVE,G_01_068,love,https://asl-lex.org/visualization/?sign=love,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
27,KNOW,KNOW,C_01_048,know,https://asl-lex.org/visualization/?sign=know,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
28,UNDERSTAND,UNDERSTAND,C_01_006,understand,https://asl-lex.org/visualization/?sign=understand,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
29,THINK,THINK,C_03_053,think,https://asl-lex.org/visualization/?sign=think,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
30,FEEL,FEEL,C_02_001,feel,https://asl-lex.org/visualization/?sign=feel,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
31,HAVE,HAVE,B_03_057,have,https://asl-lex.org/visualization/?sign=have,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
32,GIVE,GIVE,F_01_023,give,https://asl-lex.org/visualization/?sign=give,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
33,TAKE,TAKE,G_01_093,take,https://asl-lex.org/visualization/?sign=take,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
34,COME,COME,C_03_074,come,https://asl-lex.org/visualization/?sign=come,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
35,GO,GO,C_03_056,go,https://asl-lex.org/visualization/?sign=go,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
36,STOP,STOP,D_01_010,stop,https://asl-lex.org/visualization/?sign=stop,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
37,WAIT,WAIT,B_02_016,wait,https://asl-lex.org/visualization/?sign=wait,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
38,TRY,TRY,B_02_034,try,https://asl-lex.org/visualization/?sign=try,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
39,USE,USE,D_03_043,use,https://asl-lex.org/visualization/?sign=use,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
40,MAKE,MAKE,C_01_032,make,https://asl-lex.org/visualization/?sign=make,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
41,FIND,FIND,B_03_076,find,https://asl-lex.org/visualization/?sign=find,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
42,SEE,SEE,C_02_030,see,https://asl-lex.org/visualization/?sign=see,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
43,HEAR,HEAR2,J_02_006,hear_2,https://asl-lex.org/visualization/?sign=hear_2,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
44,LISTEN,LISTEN,K_01_117,listen,https://asl-lex.org/visualization/?sign=listen,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
45,TALK,TALK1,C_01_008,talk,https://asl-lex.org/visualization/?sign=talk,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
46,TELL,TELL,C_02_013,tell,https://asl-lex.org/visualization/?sign=tell,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
47,ASK,ASK,B_02_023,ask,https://asl-lex.org/visualization/?sign=ask,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
48,ANSWER,ANSWER,E_03_065,answer,https://asl-lex.org/visualization/?sign=answer,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
49,LEARN,LEARN,B_01_042,learn,https://asl-lex.org/visualization/?sign=learn,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
50,WORK,WORK,B_03_059,work,https://asl-lex.org/visualization/?sign=work,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
51,READ,READ,A_01_022,read,https://asl-lex.org/visualization/?sign=read,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
52,WRITE,WRITE,D_01_051,write,https://asl-lex.org/visualization/?sign=write,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
53,EAT,EAT1,B_02_002,eat_1,https://asl-lex.org/visualization/?sign=eat_1,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
54,DRINK,DRINK1,B_02_012,drink,https://asl-lex.org/visualization/?sign=drink,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
55,WATER,WATER,A_02_031,water,https://asl-lex.org/visualization/?sign=water,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
56,SLEEP,SLEEP,B_03_037,sleep,https://asl-lex.org/visualization/?sign=sleep,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
57,GOOD,GOOD,B_01_052,good,https://asl-lex.org/visualization/?sign=good,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
58,BAD,BAD,B_02_082,bad,https://asl-lex.org/visualization/?sign=bad,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
59,HAPPY,HAPPY,C_03_078,happy,https://asl-lex.org/visualization/?sign=happy,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
60,SAD,SAD,B_02_053,sad,https://asl-lex.org/visualization/?sign=sad,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
61,ANGRY,ANGRY,B_01_070,angry,https://asl-lex.org/visualization/?sign=angry,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
62,EXCITED,EXCITED,H_01_102,excited,https://asl-lex.org/visualization/?sign=excited,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
63,TIRED,TIRED,D_02_050,tired,https://asl-lex.org/visualization/?sign=tired,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
64,SICK,SICK,B_01_072,sick,https://asl-lex.org/visualization/?sign=sick,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
65,HUNGRY,HUNGRY,C_01_010,hungry,https://asl-lex.org/visualization/?sign=hungry,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
66,HOT,HOT,F_02_093,hot,https://asl-lex.org/visualization/?sign=hot,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
67,COLD,COLD,C_02_068,cold,https://asl-lex.org/visualization/?sign=cold,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
68,BIG,BIG,F_02_054,big,https://asl-lex.org/visualization/?sign=big,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
69,SMALL,SMALL,D_01_030,small,https://asl-lex.org/visualization/?sign=small,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
70,MORE,MORE,B_03_032,more,https://asl-lex.org/visualization/?sign=more,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
71,LESS,LESS,E_02_043,less,https://asl-lex.org/visualization/?sign=less,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
72,SAME,SAME1,B_02_009,same_1,https://asl-lex.org/visualization/?sign=same_1,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
73,DIFFERENT,DIFFERENT,E_03_095,different,https://asl-lex.org/visualization/?sign=different,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
74,EASY,EASY,D_01_070,easy,https://asl-lex.org/visualization/?sign=easy,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
75,IMPORTANT,IMPORTANT,B_01_081,important,https://asl-lex.org/visualization/?sign=important,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
76,READY,READY,F_03_042,ready,https://asl-lex.org/visualization/?sign=ready,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
77,NOW,NOW,C_03_062,now,https://asl-lex.org/visualization/?sign=now,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
78,TOMORROW,TOMORROW,F_02_040,tomorrow,https://asl-lex.org/visualization/?sign=tomorrow,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
79,YESTERDAY,YESTERDAY,D_01_024,yesterday,https://asl-lex.org/visualization/?sign=yesterday,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
80,MORNING,MORNING,C_02_012,morning,https://asl-lex.org/visualization/?sign=morning,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
81,NIGHT,NIGHT1,A_01_003,night,https://asl-lex.org/visualization/?sign=night,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
82,TIME,TIME,B_02_080,time,https://asl-lex.org/visualization/?sign=time,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
83,DAY,DAY,C_01_044,day,https://asl-lex.org/visualization/?sign=day,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
84,WEEK,WEEK,B_02_079,week,https://asl-lex.org/visualization/?sign=week,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
85,YEAR,YEAR,B_02_015,year,https://asl-lex.org/visualization/?sign=year,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
86,HOME,HOME,B_03_063,home,https://asl-lex.org/visualization/?sign=home,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
87,SCHOOL,SCHOOL,C_03_089,school,https://asl-lex.org/visualization/?sign=school,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
88,HOSPITAL,HOSPITAL1,B_02_026,hospital,https://asl-lex.org/visualization/?sign=hospital,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
89,DOCTOR,DOCTOR1,A_03_020,doctor,https://asl-lex.org/visualization/?sign=doctor,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
90,FAMILY,FAMILY,C_01_025,family,https://asl-lex.org/visualization/?sign=family,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
91,FRIEND,FRIEND,D_03_010,friend,https://asl-lex.org/visualization/?sign=friend,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
92,MOTHER,MOTHER,B_02_008,mother,https://asl-lex.org/visualization/?sign=mother,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
93,FATHER,FATHER,B_01_077,father,https://asl-lex.org/visualization/?sign=father,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
94,CHILD,CHILD,F_03_101,child,https://asl-lex.org/visualization/?sign=child,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
95,MAN,MAN,C_01_040,man,https://asl-lex.org/visualization/?sign=man,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
96,WOMAN,WOMAN1,C_02_028,woman,https://asl-lex.org/visualization/?sign=woman,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
97,NAME,NAME,D_01_021,name,https://asl-lex.org/visualization/?sign=name,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
98,SIGN,SIGN,E_03_050,sign,https://asl-lex.org/visualization/?sign=sign,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
99,LANGUAGE,LANGUAGE,A_01_067,language,https://asl-lex.org/visualization/?sign=language,approved,project_owner,2026-08-13T07:49:55Z,Explicit project-owner approval in Codex thread
