source,split_role,signer_id,source_collection,utterance_video_filename,utterance_video_url,span_index_in_utterance,target_sequence,target_variants,target_token_count,utterance_start_frame_global,utterance_end_frame_global,span_start_frame_global,span_end_frame_global,crop_start_frame_local,crop_end_frame_local,context_frames_each_side
asllrp,train_candidate,RACHEL,Rachel_2012-01-27_sc53,11946118.mp4,https://dai.cs.rutgers.edu/ss3front/11946118.mp4,0,"[""NOW"",""COLD""]","[""NOW"",""COLD""]",2,2162,2230,2165,2181,0,24,5
asllrp,train_candidate,RACHEL,Rachel_2011-12-08_sc44,1539230.mp4,https://dai.cs.rutgers.edu/ss3front/1539230.mp4,0,"[""MORE"",""SMALL""]","[""MORE"",""SMALL""]",2,3223,3425,3363,3375,135,157,5
asllrp,train_candidate,RACHEL,Rachel_2011-12-08_sc44,1540514.mp4,https://dai.cs.rutgers.edu/ss3front/1540514.mp4,0,"[""HAVE"",""TIME""]","[""HAVE"",""TIME""]",2,2568,2738,2701,2718,128,155,5
asllrp,train_candidate,JONATHAN,Jonathan_2012-11-27_sc97,15718738.mp4,https://dai.cs.rutgers.edu/ss3front/15718738.mp4,0,"[""NIGHT"",""TIME""]","[""NIGHT"",""TIME""]",2,7922,8114,8052,8065,125,148,5
asllrp,train_candidate,CORY,Cory_2013-6-27_sc107,159.mp4,https://dai.cs.rutgers.edu/ss3front/159.mp4,0,"[""TOMORROW"",""FAMILY""]","[""TOMORROW"",""FAMILY""]",2,12297,12389,12315,12339,13,47,5
asllrp,train_candidate,CORY,Cory_2013-6-27_sc110,173949.mp4,https://dai.cs.rutgers.edu/ss3front/173949.mp4,0,"[""TAKE"",""WORK""]","[""TAKE"",""WORK""]",2,9139,9315,9271,9301,127,167,5
asllrp,train_candidate,BENJAMIN_JAMES_BAHAN,1-Ben-Introduction,18858050.mp4,https://dai.cs.rutgers.edu/ss3front/18858050.mp4,0,"[""MAYBE"",""MORE"",""IMPORTANT""]","[""MAYBE"",""MORE"",""IMPORTANT""]",3,1997,2208,2024,2050,22,58,5
asllrp,train_candidate,BENJAMIN_JAMES_BAHAN,1-Ben-Introduction,19209761.mp4,https://dai.cs.rutgers.edu/ss3front/19209761.mp4,0,"[""UNDERSTAND"",""LEARN"",""USE""]","[""UNDERSTAND"",""LEARN"",""USE""]",3,3369,3588,3370,3450,0,86,5
asllrp,train_candidate,RACHEL,Rachel_2012-02-14_sc66,256656.mp4,https://dai.cs.rutgers.edu/ss3front/256656.mp4,0,"[""TIME"",""HOME""]","[""TIME"",""HOME""]",2,8496,8692,8555,8572,54,81,5
asllrp,train_candidate,BENJAMIN_JAMES_BAHAN,10-Ben-Conclusion,29154656.mp4,https://dai.cs.rutgers.edu/ss3front/29154656.mp4,0,"[""NOW"",""SCHOOL""]","[""NOW"",""SCHOOL""]",2,1943,2280,1991,2019,43,81,5
asllrp,train_candidate,JONATHAN,Jonathan_2012-11-27_sc95,30336.mp4,https://dai.cs.rutgers.edu/ss3front/30336.mp4,0,"[""WATER"",""COLD""]","[""WATER"",""COLD""]",2,6704,6776,6716,6746,7,47,5
asllrp,train_candidate,JONATHAN,Jonathan_2012-11-27_sc96,31657946.mp4,https://dai.cs.rutgers.edu/ss3front/31657946.mp4,0,"[""LIKE"",""READ""]","[""LIKE"",""READ""]",2,8670,8772,8707,8717,32,52,5
asllrp,train_candidate,JONATHAN,Jonathan_2012-11-27_sc96,31659623.mp4,https://dai.cs.rutgers.edu/ss3front/31659623.mp4,0,"[""FRIEND"",""NOW""]","[""FRIEND"",""NOW""]",2,3483,3585,3493,3507,5,29,5
asllrp,train_candidate,JONATHAN,Jonathan_2012-11-27_sc96,31660216.mp4,https://dai.cs.rutgers.edu/ss3front/31660216.mp4,0,"[""NOW"",""BAD""]","[""NOW"",""BAD""]",2,1919,2052,1926,1951,2,37,5
asllrp,train_candidate,RACHEL,Rachel_2012-02-09_sc61,33733731.mp4,https://dai.cs.rutgers.edu/ss3front/33733731.mp4,0,"[""STOP"",""SCHOOL""]","[""STOP"",""SCHOOL""]",2,5947,6068,5985,6004,33,62,5
asllrp,train_candidate,RACHEL,Rachel_2012-02-09_sc61,33734519.mp4,https://dai.cs.rutgers.edu/ss3front/33734519.mp4,0,"[""SEE"",""FRIEND"",""TOMORROW""]","[""SEE"",""FRIEND"",""TOMORROW""]",3,3295,3384,3311,3337,11,47,5
asllrp,train_candidate,RACHEL,Rachel_2012-02-09_sc61,33734816.mp4,https://dai.cs.rutgers.edu/ss3front/33734816.mp4,0,"[""SCHOOL"",""TOMORROW""]","[""SCHOOL"",""TOMORROW""]",2,2688,2804,2758,2782,65,99,5
asllrp,train_candidate,CORY,Cory_2013-6-27_sc108,3378758.mp4,https://dai.cs.rutgers.edu/ss3front/3378758.mp4,0,"[""NOW"",""READ""]","[""NOW"",""READ""]",2,12391,12457,12411,12428,15,42,5
asllrp,train_candidate,CORY,Cory_2013-6-27_sc108,3380236.mp4,https://dai.cs.rutgers.edu/ss3front/3380236.mp4,0,"[""HAVE"",""TIME"",""TOMORROW""]","[""HAVE"",""TIME"",""TOMORROW""]",3,7323,7475,7366,7394,38,76,5
asllrp,train_candidate,CORY,Cory_2013-6-27_sc108,3380530.mp4,https://dai.cs.rutgers.edu/ss3front/3380530.mp4,0,"[""TOMORROW"",""WHEN""]","[""TOMORROW"",""WHEN""]",2,5660,5834,5702,5726,37,71,5
asllrp,train_candidate,RACHEL,Rachel_2012-01-27_sc56,40386315.mp4,https://dai.cs.rutgers.edu/ss3front/40386315.mp4,0,"[""SCHOOL"",""TOMORROW""]","[""SCHOOL"",""TOMORROW""]",2,1546,1610,1573,1594,22,53,5
asllrp,train_candidate,RACHEL,Rachel_2012-01-27_sc56,40386513.mp4,https://dai.cs.rutgers.edu/ss3front/40386513.mp4,0,"[""LIKE"",""WORK""]","[""LIKE"",""WORK""]",2,1242,1294,1250,1263,3,26,5
asllrp,train_candidate,JONATHAN,Jonathan_2012-11-27_sc98,4236779.mp4,https://dai.cs.rutgers.edu/ss3front/4236779.mp4,0,"[""TIME"",""FRIEND""]","[""TIME"",""FRIEND""]",2,14944,15072,14956,14974,7,35,5
asllrp,train_candidate,BENJAMIN_JAMES_BAHAN,8-Ben-Control-of-sound-places,49985301.mp4,https://dai.cs.rutgers.edu/ss3front/49985301.mp4,0,"[""FAMILY"",""SIGN""]","[""FAMILY"",""SIGN""]",2,10094,10394,10228,10250,129,161,5
asllrp,train_candidate,BENJAMIN_JAMES_BAHAN,5-Ben-Deaf-Grunts,53819100.mp4,https://dai.cs.rutgers.edu/ss3front/53819100.mp4,0,"[""NAME"",""HAVE""]","[""NAME"",""HAVE""]",2,8170,8596,8238,8275,63,110,5
asllrp,train_candidate,CORY,Cory_2013-6-27_sc115,61830116.mp4,https://dai.cs.rutgers.edu/ss3front/61830116.mp4,0,"[""TIME"",""FRIEND""]","[""TIME"",""FRIEND""]",2,25585,25717,25599,25623,9,43,5
asllrp,train_candidate,CORY,Cory_2013-6-27_sc113,629983.mp4,https://dai.cs.rutgers.edu/ss3front/629983.mp4,0,"[""WORK"",""WHEN""]","[""WORK"",""WHEN""]",2,17331,17423,17367,17390,31,64,5
