feature_path,video_path,split,label,orientation,width,height,source_frames_before_trim,source_frames_after_trim,elapsed_seconds,hand_frame_fraction_before_trim,hand_frame_fraction_after_trim,hand_presence_fraction,face_presence_fraction,body_presence_fraction,shoulder_coverage,normalization_source,chirality_left,chirality_right,chirality_unknown,finite,binary_presence,missing_spatial_zero,missing_confidence_zero,valid_shape
ANSWER/Brady_Brady_15931.v17.npz,data/local/asllvd_asllex_v17/raw_front/ANSWER/Brady_Brady_15931.mov,,ANSWER,portrait,224,328,19,19,0.6396662909999999,1.0,1.0,0.97900390625,0.90625,0.90625,0.8947368421052632,shoulder_width,19,19,0,True,True,True,True,True
ANSWER/Dana_Dana_99.v17.npz,data/local/asllvd_asllex_v17/raw_front/ANSWER/Dana_Dana_99.mov,,ANSWER,portrait,296,328,25,25,0.6633002079999999,1.0,1.0,1.0,1.0,0.0,0.0,palm_length,25,25,0,True,True,True,True,True
ANSWER/Lana_Lana_99.v17.npz,data/local/asllvd_asllex_v17/raw_front/ANSWER/Lana_Lana_99.mov,,ANSWER,portrait,272,328,18,18,0.36689733300000027,1.0,1.0,1.0,0.96875,0.7265625,0.9444444444444444,shoulder_width,18,18,0,True,True,True,True,True
ANSWER/Liz_Liz_3986.v17.npz,data/local/asllvd_asllex_v17/raw_front/ANSWER/Liz_Liz_3986.mov,,ANSWER,portrait,264,328,40,40,0.8842806250000006,1.0,1.0,0.99609375,0.8125,0.8125,0.825,shoulder_width,40,40,0,True,True,True,True,True
ANSWER/Naomi_Naomi_99.v17.npz,data/local/asllvd_asllex_v17/raw_front/ANSWER/Naomi_Naomi_99.mov,,ANSWER,portrait,264,328,19,19,0.6098463330000001,1.0,1.0,0.99853515625,0.90625,0.90625,0.8947368421052632,shoulder_width,19,19,0,True,True,True,True,True
BAD/Brady_Brady_4707.v17.npz,data/local/asllvd_asllex_v17/raw_front/BAD/Brady_Brady_4707.mov,,BAD,portrait,272,328,18,18,0.39989320800000083,1.0,1.0,0.9990234375,0.96875,0.96875,0.9444444444444444,shoulder_width,18,18,0,True,True,True,True,True
BAD/Dana_Dana_4707.v17.npz,data/local/asllvd_asllex_v17/raw_front/BAD/Dana_Dana_4707.mov,,BAD,portrait,288,328,34,34,0.8275467499999998,1.0,1.0,0.8125,0.96875,0.046875,0.058823529411764705,shoulder_width,11,43,0,True,True,True,True,True
BAD/Lana_Lana_4707.v17.npz,data/local/asllvd_asllex_v17/raw_front/BAD/Lana_Lana_4707.mov,,BAD,portrait,256,328,20,20,0.43696879099999997,1.0,1.0,1.0,0.84375,0.0234375,0.05,shoulder_width,9,31,0,True,True,True,True,True
BAD/Liz_Liz_4707.v17.npz,data/local/asllvd_asllex_v17/raw_front/BAD/Liz_Liz_4707.mov,,BAD,portrait,304,328,32,32,0.6128577919999998,1.0,1.0,1.0,0.78125,0.78125,0.78125,shoulder_width,32,32,0,True,True,True,True,True
BAD/Naomi_Naomi_4707.v17.npz,data/local/asllvd_asllex_v17/raw_front/BAD/Naomi_Naomi_4707.mov,,BAD,portrait,256,328,25,25,0.3872979170000015,1.0,1.0,0.50439453125,1.0,1.0,1.0,shoulder_width,1,25,0,True,True,True,True,True
CHILD/Brady_Brady_15770.v17.npz,data/local/asllvd_asllex_v17/raw_front/CHILD/Brady_Brady_15770.mov,,CHILD,portrait,264,328,23,23,0.4207557919999996,1.0,1.0,1.0,0.75,0.75,0.7391304347826086,shoulder_width,23,23,0,True,True,True,True,True
CHILD/Liz_Liz_15770.v17.npz,data/local/asllvd_asllex_v17/raw_front/CHILD/Liz_Liz_15770.mov,,CHILD,portrait,304,328,41,41,0.867569584,1.0,1.0,1.0,1.0,1.0,1.0,shoulder_width,41,41,0,True,True,True,True,True
CHILD/Naomi_Naomi_15770.v17.npz,data/local/asllvd_asllex_v17/raw_front/CHILD/Naomi_Naomi_15770.mov,,CHILD,portrait,304,328,31,31,0.7593209170000002,1.0,1.0,1.0,0.8125,0.8125,0.8064516129032258,shoulder_width,31,31,0,True,True,True,True,True
COLD/Brady_Brady_3427.v17.npz,data/local/asllvd_asllex_v17/raw_front/COLD/Brady_Brady_3427.mov,,COLD,portrait,232,328,29,29,0.5447257919999995,1.0,1.0,1.0,0.875,0.875,0.8620689655172413,shoulder_width,29,29,0,True,True,True,True,True
COLD/Lana_Lana_487.v17.npz,data/local/asllvd_asllex_v17/raw_front/COLD/Lana_Lana_487.mov,,COLD,portrait,264,328,38,38,0.6888022079999985,1.0,1.0,1.0,0.875,0.875,0.868421052631579,shoulder_width,38,38,0,True,True,True,True,True
COLD/Liz_Liz_3427.v17.npz,data/local/asllvd_asllex_v17/raw_front/COLD/Liz_Liz_3427.mov,,COLD,portrait,224,328,45,45,0.8149147079999999,1.0,1.0,1.0,0.90625,0.90625,0.9111111111111111,shoulder_width,45,45,0,True,True,True,True,True
COLD/Naomi_Naomi_487.v17.npz,data/local/asllvd_asllex_v17/raw_front/COLD/Naomi_Naomi_487.mov,,COLD,portrait,288,328,27,27,0.5907495420000011,1.0,1.0,1.0,0.9375,0.9375,0.9259259259259259,shoulder_width,27,27,0,True,True,True,True,True
COLD/Tyler_Tyler_487.v17.npz,data/local/asllvd_asllex_v17/raw_front/COLD/Tyler_Tyler_487.mov,,COLD,portrait,280,328,57,57,1.1018911250000016,1.0,1.0,1.0,1.0,1.0,1.0,shoulder_width,57,57,0,True,True,True,True,True
DAY/Lana_Lana_617.v17.npz,data/local/asllvd_asllex_v17/raw_front/DAY/Lana_Lana_617.mov,,DAY,portrait,264,328,31,31,0.6098507909999995,1.0,1.0,0.9833984375,0.8125,0.8125,0.8064516129032258,shoulder_width,30,31,0,True,True,True,True,True
DAY/Naomi_Naomi_617.v17.npz,data/local/asllvd_asllex_v17/raw_front/DAY/Naomi_Naomi_617.mov,,DAY,portrait,264,328,23,23,0.43279712500000045,1.0,1.0,0.99609375,0.75,0.75,0.7391304347826086,shoulder_width,23,23,0,True,True,True,True,True
DAY/Tyler_Tyler_617.v17.npz,data/local/asllvd_asllex_v17/raw_front/DAY/Tyler_Tyler_617.mov,,DAY,portrait,288,328,31,31,0.5579982500000007,1.0,1.0,1.0,0.8125,0.8125,0.8064516129032258,shoulder_width,31,30,0,True,True,True,True,True
EASY/Brady_Brady_4693.v17.npz,data/local/asllvd_asllex_v17/raw_front/EASY/Brady_Brady_4693.mov,,EASY,portrait,280,328,24,24,0.43697720800000184,1.0,1.0,1.0,0.71875,0.71875,0.7083333333333334,shoulder_width,24,24,0,True,True,True,True,True
EASY/Dana_Dana_4693.v17.npz,data/local/asllvd_asllex_v17/raw_front/EASY/Dana_Dana_4693.mov,,EASY,portrait,296,328,70,70,1.2010420419999974,1.0,1.0,1.0,0.90625,0.7421875,0.9285714285714286,shoulder_width,57,83,0,True,True,True,True,True
EASY/Lana_Lana_4693.v17.npz,data/local/asllvd_asllex_v17/raw_front/EASY/Lana_Lana_4693.mov,,EASY,portrait,256,328,59,59,1.3446235830000006,1.0,1.0,1.0,0.96875,0.2890625,0.4406779661016949,shoulder_width,59,59,0,True,True,True,True,True
EASY/Liz_Liz_15721.v17.npz,data/local/asllvd_asllex_v17/raw_front/EASY/Liz_Liz_15721.mov,,EASY,portrait,240,328,35,35,0.6894548329999992,1.0,1.0,1.0,0.9375,0.9375,0.9428571428571428,shoulder_width,35,35,0,True,True,True,True,True
EASY/Naomi_Naomi_15721.v17.npz,data/local/asllvd_asllex_v17/raw_front/EASY/Naomi_Naomi_15721.mov,,EASY,portrait,248,328,25,25,0.49278541600000025,1.0,1.0,1.0,1.0,1.0,1.0,shoulder_width,25,25,0,True,True,True,True,True
EAT/Brady_Brady_774.v17.npz,data/local/asllvd_asllex_v17/raw_front/EAT/Brady_Brady_774.mov,,EAT,portrait,184,328,31,31,0.6046468330000003,1.0,1.0,0.9755859375,0.8125,0.609375,0.0,palm_length,31,31,0,True,True,True,True,True
EAT/Dana_Dana_774.v17.npz,data/local/asllvd_asllex_v17/raw_front/EAT/Dana_Dana_774.mov,,EAT,portrait,296,328,50,50,1.0706610000000012,1.0,1.0,0.953125,0.96875,0.0,0.0,palm_length,42,50,0,True,True,True,True,True
EAT/Lana_Lana_5082.v17.npz,data/local/asllvd_asllex_v17/raw_front/EAT/Lana_Lana_5082.mov,,EAT,portrait,240,328,20,20,0.41916766699999997,1.0,1.0,0.98828125,0.84375,0.0,0.0,palm_length,19,21,0,True,True,True,True,True
EAT/Liz_Liz_774.v17.npz,data/local/asllvd_asllex_v17/raw_front/EAT/Liz_Liz_774.mov,,EAT,portrait,256,328,39,39,0.629469708000002,1.0,1.0,0.57666015625,0.84375,0.4296875,0.23076923076923078,shoulder_width,0,42,0,True,True,True,True,True
EAT/Naomi_Naomi_774.v17.npz,data/local/asllvd_asllex_v17/raw_front/EAT/Naomi_Naomi_774.mov,,EAT,portrait,232,328,27,27,0.5033534999999958,1.0,1.0,1.0,0.9375,0.9375,0.9259259259259259,shoulder_width,27,27,0,True,True,True,True,True
EXCITED/Brady_Brady_15782.v17.npz,data/local/asllvd_asllex_v17/raw_front/EXCITED/Brady_Brady_15782.mov,,EXCITED,portrait,224,328,30,30,0.639721999999999,1.0,1.0,1.0,0.84375,0.703125,0.3,shoulder_width,30,30,0,True,True,True,True,True
EXCITED/Dana_Dana_15782.v17.npz,data/local/asllvd_asllex_v17/raw_front/EXCITED/Dana_Dana_15782.mov,,EXCITED,portrait,288,328,68,68,1.4476929580000046,1.0,1.0,0.9912109375,0.9375,0.7734375,0.9558823529411765,shoulder_width,66,70,0,True,True,True,True,True
EXCITED/Lana_Lana_15782.v17.npz,data/local/asllvd_asllex_v17/raw_front/EXCITED/Lana_Lana_15782.mov,,EXCITED,portrait,232,328,38,38,0.7785416660000024,1.0,1.0,1.0,0.875,0.3515625,0.4473684210526316,shoulder_width,36,40,0,True,True,True,True,True
EXCITED/Liz_Liz_15782.v17.npz,data/local/asllvd_asllex_v17/raw_front/EXCITED/Liz_Liz_15782.mov,,EXCITED,portrait,272,328,56,56,1.065789415999994,1.0,1.0,0.9873046875,0.875,0.8359375,0.875,shoulder_width,56,56,0,True,True,True,True,True
EXCITED/Naomi_Naomi_15782.v17.npz,data/local/asllvd_asllex_v17/raw_front/EXCITED/Naomi_Naomi_15782.mov,,EXCITED,portrait,304,328,36,36,0.717468083,1.0,1.0,0.99462890625,0.90625,0.90625,0.9166666666666666,shoulder_width,36,36,0,True,True,True,True,True
FAMILY/Brady_Brady_873.v17.npz,data/local/asllvd_asllex_v17/raw_front/FAMILY/Brady_Brady_873.mov,,FAMILY,portrait,192,328,20,20,0.47602299999999786,1.0,1.0,1.0,0.84375,0.53125,0.0,palm_length,20,20,0,True,True,True,True,True
FAMILY/Dana_Dana_873.v17.npz,data/local/asllvd_asllex_v17/raw_front/FAMILY/Dana_Dana_873.mov,,FAMILY,portrait,296,328,70,70,1.3896458749999994,1.0,1.0,1.0,0.90625,0.8515625,0.9285714285714286,shoulder_width,70,70,0,True,True,True,True,True
FAMILY/Lana_Lana_873.v17.npz,data/local/asllvd_asllex_v17/raw_front/FAMILY/Lana_Lana_873.mov,,FAMILY,portrait,248,328,33,33,0.7250024160000024,1.0,1.0,1.0,0.75,0.0,0.0,palm_length,33,33,0,True,True,True,True,True
FAMILY/Liz_Liz_873.v17.npz,data/local/asllvd_asllex_v17/raw_front/FAMILY/Liz_Liz_873.mov,,FAMILY,portrait,256,328,38,38,0.7495242919999967,1.0,1.0,1.0,0.65625,0.875,0.868421052631579,shoulder_width,38,38,0,True,True,True,True,True
FAMILY/Naomi_Naomi_873.v17.npz,data/local/asllvd_asllex_v17/raw_front/FAMILY/Naomi_Naomi_873.mov,,FAMILY,portrait,248,328,27,27,0.5500700420000015,1.0,1.0,1.0,0.9375,0.9375,0.9259259259259259,shoulder_width,27,27,0,True,True,True,True,True
FEEL/Brady_Brady_893.v17.npz,data/local/asllvd_asllex_v17/raw_front/FEEL/Brady_Brady_893.mov,,FEEL,portrait,192,328,24,24,0.5104588330000013,1.0,1.0,0.99462890625,0.71875,0.71875,0.7083333333333334,shoulder_width,24,24,0,True,True,True,True,True
FEEL/Dana_Dana_893.v17.npz,data/local/asllvd_asllex_v17/raw_front/FEEL/Dana_Dana_893.mov,,FEEL,portrait,288,328,77,77,1.0647827500000062,1.0,1.0,0.5,0.9375,0.671875,0.948051948051948,shoulder_width,0,77,0,True,True,True,True,True
FEEL/Lana_Lana_893.v17.npz,data/local/asllvd_asllex_v17/raw_front/FEEL/Lana_Lana_893.mov,,FEEL,portrait,232,328,29,29,0.5757945829999969,1.0,1.0,1.0,0.875,0.0,0.0,palm_length,29,29,0,True,True,True,True,True
