split,class_index,canonical_label,raw_gloss,asl_lex_code,participant,video,archive_member,destination,compressed_bytes,uncompressed_bytes,zip_crc32,zip_header_offset,zip_compression
train,0,I,ME,B_01_068,P30,0035172227152260316-ME.mp4,ASL_Citizen/videos/0035172227152260316-ME.mp4,data/local/citizen100_v17/raw/train/I/0035172227152260316-ME.mp4,365100,396257,e7e62bf8,25148535926,8
train,0,I,ME,B_01_068,P14,22192344699736766-ME.mp4,ASL_Citizen/videos/22192344699736766-ME.mp4,data/local/citizen100_v17/raw/train/I/22192344699736766-ME.mp4,269544,291129,12d48cfe,12003721729,8
train,0,I,ME,B_01_068,P11,2576140497310784-ME.mp4,ASL_Citizen/videos/2576140497310784-ME.mp4,data/local/citizen100_v17/raw/train/I/2576140497310784-ME.mp4,230901,252131,32e55533,24186267,8
train,0,I,ME,B_01_068,P4,4545746926162382-ME.mp4,ASL_Citizen/videos/4545746926162382-ME.mp4,data/local/citizen100_v17/raw/train/I/4545746926162382-ME.mp4,537935,590422,afdf8d4d,38748986226,8
train,0,I,ME,B_01_068,P16,5691724461344478-ME.mp4,ASL_Citizen/videos/5691724461344478-ME.mp4,data/local/citizen100_v17/raw/train/I/5691724461344478-ME.mp4,576862,625553,abf86058,20381283860,8
train,0,I,ME,B_01_068,P29,5706413352425115-ME.mp4,ASL_Citizen/videos/5706413352425115-ME.mp4,data/local/citizen100_v17/raw/train/I/5706413352425115-ME.mp4,458567,458993,0000ce41,14953678835,8
train,0,I,ME,B_01_068,P31,6366246076484883-ME.mp4,ASL_Citizen/videos/6366246076484883-ME.mp4,data/local/citizen100_v17/raw/train/I/6366246076484883-ME.mp4,503252,548153,6bd079f5,11651123555,8
train,0,I,ME,B_01_068,P37,6411588958209695-ME.mp4,ASL_Citizen/videos/6411588958209695-ME.mp4,data/local/citizen100_v17/raw/train/I/6411588958209695-ME.mp4,277126,301382,eee85b22,1517557006,8
train,0,I,ME,B_01_068,P36,6421087005073287-ME.mp4,ASL_Citizen/videos/6421087005073287-ME.mp4,data/local/citizen100_v17/raw/train/I/6421087005073287-ME.mp4,476172,516129,9ec20fa8,18893750947,8
train,0,I,ME,B_01_068,P52,6882259554153813-seedME.mp4,ASL_Citizen/videos/6882259554153813-seedME.mp4,data/local/citizen100_v17/raw/train/I/6882259554153813-seedME.mp4,885395,963302,c8bac5b3,36412385538,8
train,0,I,ME,B_01_068,P27,7227128162421703-ME.mp4,ASL_Citizen/videos/7227128162421703-ME.mp4,data/local/citizen100_v17/raw/train/I/7227128162421703-ME.mp4,282652,308709,549e9f27,29070340004,8
train,0,I,ME,B_01_068,P50,7378759651365803-ME.mp4,ASL_Citizen/videos/7378759651365803-ME.mp4,data/local/citizen100_v17/raw/train/I/7378759651365803-ME.mp4,465292,505304,3fc3833d,39790910049,8
train,0,I,ME,B_01_068,P33,8334054758517455-ME.mp4,ASL_Citizen/videos/8334054758517455-ME.mp4,data/local/citizen100_v17/raw/train/I/8334054758517455-ME.mp4,944766,1031898,223d9417,35060373260,8
train,1,YOU,YOU,D_02_065,P37,08882787638193945-YOU.mp4,ASL_Citizen/videos/08882787638193945-YOU.mp4,data/local/citizen100_v17/raw/train/YOU/08882787638193945-YOU.mp4,451497,489183,3182295f,16658713276,8
train,1,YOU,YOU,D_02_065,P4,14637905185166056-YOU.mp4,ASL_Citizen/videos/14637905185166056-YOU.mp4,data/local/citizen100_v17/raw/train/YOU/14637905185166056-YOU.mp4,554327,603033,d59ae6a8,13962434012,8
train,1,YOU,YOU,D_02_065,P50,15737752814991346-YOU.mp4,ASL_Citizen/videos/15737752814991346-YOU.mp4,data/local/citizen100_v17/raw/train/YOU/15737752814991346-YOU.mp4,424701,458839,432dd308,28853536150,8
train,1,YOU,YOU,D_02_065,P51,17987836792170242-YOU.mp4,ASL_Citizen/videos/17987836792170242-YOU.mp4,data/local/citizen100_v17/raw/train/YOU/17987836792170242-YOU.mp4,241061,283362,9ed9f16b,14185524327,8
train,1,YOU,YOU,D_02_065,P52,24903533651693976-seedYOU.mp4,ASL_Citizen/videos/24903533651693976-seedYOU.mp4,data/local/citizen100_v17/raw/train/YOU/24903533651693976-seedYOU.mp4,935294,1022684,53a2fa6d,34974177219,8
train,1,YOU,YOU,D_02_065,P31,2775935043696396-YOU.mp4,ASL_Citizen/videos/2775935043696396-YOU.mp4,data/local/citizen100_v17/raw/train/YOU/2775935043696396-YOU.mp4,335859,368100,6f6f8e4b,44283976782,8
train,1,YOU,YOU,D_02_065,P27,3273120364218567-YOU.mp4,ASL_Citizen/videos/3273120364218567-YOU.mp4,data/local/citizen100_v17/raw/train/YOU/3273120364218567-YOU.mp4,270604,293840,1ada7c74,5389601820,8
train,1,YOU,YOU,D_02_065,P7,5547769757240029-YOU.mp4,ASL_Citizen/videos/5547769757240029-YOU.mp4,data/local/citizen100_v17/raw/train/YOU/5547769757240029-YOU.mp4,444228,481216,2e5fa072,39421099682,8
train,1,YOU,YOU,D_02_065,P11,6298308396800849-YOU.mp4,ASL_Citizen/videos/6298308396800849-YOU.mp4,data/local/citizen100_v17/raw/train/YOU/6298308396800849-YOU.mp4,281361,304941,02cf319b,3377203956,8
train,1,YOU,YOU,D_02_065,P16,6515372118413638-YOU.mp4,ASL_Citizen/videos/6515372118413638-YOU.mp4,data/local/citizen100_v17/raw/train/YOU/6515372118413638-YOU.mp4,379716,412202,afb47631,24484757087,8
train,1,YOU,YOU,D_02_065,P2,677386009297865-YOU.mp4,ASL_Citizen/videos/677386009297865-YOU.mp4,data/local/citizen100_v17/raw/train/YOU/677386009297865-YOU.mp4,356589,357040,9c5e6090,1848858787,8
train,1,YOU,YOU,D_02_065,P40,7590157290604365-YOU.mp4,ASL_Citizen/videos/7590157290604365-YOU.mp4,data/local/citizen100_v17/raw/train/YOU/7590157290604365-YOU.mp4,520925,563812,ff4543c8,34580411329,8
train,1,YOU,YOU,D_02_065,P29,7807683495721192-YOU.mp4,ASL_Citizen/videos/7807683495721192-YOU.mp4,data/local/citizen100_v17/raw/train/YOU/7807683495721192-YOU.mp4,778158,778855,f52be148,42817443098,8
train,1,YOU,YOU,D_02_065,P30,7924736335453846-YOU.mp4,ASL_Citizen/videos/7924736335453846-YOU.mp4,data/local/citizen100_v17/raw/train/YOU/7924736335453846-YOU.mp4,680067,739420,cd937a7f,4529661870,8
train,1,YOU,YOU,D_02_065,P33,9739021665350334-YOU.mp4,ASL_Citizen/videos/9739021665350334-YOU.mp4,data/local/citizen100_v17/raw/train/YOU/9739021665350334-YOU.mp4,916191,999076,7afe2ac7,33839076715,8
train,2,WE,WE,G_03_019,P1,16994877911771145-WE.mp4,ASL_Citizen/videos/16994877911771145-WE.mp4,data/local/citizen100_v17/raw/train/WE/16994877911771145-WE.mp4,499299,545298,1d5b86fe,15889195974,8
train,2,WE,WE,G_03_019,P43,193766215011427-WE.mp4,ASL_Citizen/videos/193766215011427-WE.mp4,data/local/citizen100_v17/raw/train/WE/193766215011427-WE.mp4,629887,681546,463b6ead,44109517538,8
train,2,WE,WE,G_03_019,P27,2541378389097124-WE.mp4,ASL_Citizen/videos/2541378389097124-WE.mp4,data/local/citizen100_v17/raw/train/WE/2541378389097124-WE.mp4,297199,322468,af0c8c16,15079363299,8
train,2,WE,WE,G_03_019,P37,274934874875824-WE.mp4,ASL_Citizen/videos/274934874875824-WE.mp4,data/local/citizen100_v17/raw/train/WE/274934874875824-WE.mp4,402703,434387,985d2b62,32739130395,8
train,2,WE,WE,G_03_019,P52,2803881528625629-seedWE.mp4,ASL_Citizen/videos/2803881528625629-seedWE.mp4,data/local/citizen100_v17/raw/train/WE/2803881528625629-seedWE.mp4,693281,757866,f60410c6,43540364700,8
train,2,WE,WE,G_03_019,P11,3468501303620588-WE.mp4,ASL_Citizen/videos/3468501303620588-WE.mp4,data/local/citizen100_v17/raw/train/WE/3468501303620588-WE.mp4,296312,321283,639f8408,20955710988,8
train,2,WE,WE,G_03_019,P2,36753258402615074-WE.mp4,ASL_Citizen/videos/36753258402615074-WE.mp4,data/local/citizen100_v17/raw/train/WE/36753258402615074-WE.mp4,573312,573814,f7126fd5,39702003204,8
train,2,WE,WE,G_03_019,P31,4544218531641271-WE.mp4,ASL_Citizen/videos/4544218531641271-WE.mp4,data/local/citizen100_v17/raw/train/WE/4544218531641271-WE.mp4,563295,613802,7da171e0,35288506233,8
train,2,WE,WE,G_03_019,P40,5346957049353451-WE.mp4,ASL_Citizen/videos/5346957049353451-WE.mp4,data/local/citizen100_v17/raw/train/WE/5346957049353451-WE.mp4,1355533,1420691,67d12182,27019343963,8
train,2,WE,WE,G_03_019,P33,5641210498834153-WE.mp4,ASL_Citizen/videos/5641210498834153-WE.mp4,data/local/citizen100_v17/raw/train/WE/5641210498834153-WE.mp4,1232941,1345316,d18464b7,906264056,8
train,2,WE,WE,G_03_019,P30,6257769266405475-WE.mp4,ASL_Citizen/videos/6257769266405475-WE.mp4,data/local/citizen100_v17/raw/train/WE/6257769266405475-WE.mp4,586782,637569,6e5af236,20882614634,8
train,2,WE,WE,G_03_019,P16,7484839279145117-WE.mp4,ASL_Citizen/videos/7484839279145117-WE.mp4,data/local/citizen100_v17/raw/train/WE/7484839279145117-WE.mp4,465602,506003,331146ad,12982814609,8
train,2,WE,WE,G_03_019,P50,8279377520732154-WE.mp4,ASL_Citizen/videos/8279377520732154-WE.mp4,data/local/citizen100_v17/raw/train/WE/8279377520732154-WE.mp4,562509,610377,9f491b7c,12235541581,8
train,2,WE,WE,G_03_019,P29,8865858542977822-WE.mp4,ASL_Citizen/videos/8865858542977822-WE.mp4,data/local/citizen100_v17/raw/train/WE/8865858542977822-WE.mp4,1232081,1236268,c6fcdf95,45607614400,8
train,2,WE,WE,G_03_019,P14,8906582989498535-WE.mp4,ASL_Citizen/videos/8906582989498535-WE.mp4,data/local/citizen100_v17/raw/train/WE/8906582989498535-WE.mp4,379562,411287,9ae69fb7,7865155807,8
train,2,WE,WE,G_03_019,P51,9375717470846778-WE.mp4,ASL_Citizen/videos/9375717470846778-WE.mp4,data/local/citizen100_v17/raw/train/WE/9375717470846778-WE.mp4,492960,537927,e83f4d19,32958901925,8
train,3,THEY,THEY1,F_02_103,P52,043586308791437656-seedTHEY.mp4,ASL_Citizen/videos/043586308791437656-seedTHEY.mp4,data/local/citizen100_v17/raw/train/THEY/043586308791437656-seedTHEY.mp4,577531,632032,5ad07f5f,9659642865,8
train,3,THEY,THEY1,F_02_103,P23,09925483539097146-THEY.mp4,ASL_Citizen/videos/09925483539097146-THEY.mp4,data/local/citizen100_v17/raw/train/THEY/09925483539097146-THEY.mp4,572694,618876,5ce1661a,32677627867,8
train,3,THEY,THEY1,F_02_103,P40,2595760307657029-THEY.mp4,ASL_Citizen/videos/2595760307657029-THEY.mp4,data/local/citizen100_v17/raw/train/THEY/2595760307657029-THEY.mp4,915944,959863,ba7b59c5,37580879627,8
train,3,THEY,THEY1,F_02_103,P43,26657946023294365-THEY.mp4,ASL_Citizen/videos/26657946023294365-THEY.mp4,data/local/citizen100_v17/raw/train/THEY/26657946023294365-THEY.mp4,502327,543473,e35c3d3d,38262189761,8
train,3,THEY,THEY1,F_02_103,P50,39433246279112355-THEY.mp4,ASL_Citizen/videos/39433246279112355-THEY.mp4,data/local/citizen100_v17/raw/train/THEY/39433246279112355-THEY.mp4,396546,428909,e771c25c,25763513331,8
train,3,THEY,THEY1,F_02_103,P27,4163876725261626-THEY.mp4,ASL_Citizen/videos/4163876725261626-THEY.mp4,data/local/citizen100_v17/raw/train/THEY/4163876725261626-THEY.mp4,272327,297327,e6bc41d9,15314079498,8
train,3,THEY,THEY1,F_02_103,P11,5247185728423776-THEY.mp4,ASL_Citizen/videos/5247185728423776-THEY.mp4,data/local/citizen100_v17/raw/train/THEY/5247185728423776-THEY.mp4,284345,308637,ea3bcd92,3973196972,8
train,3,THEY,THEY1,F_02_103,P27,5781985412875206-THEY.mp4,ASL_Citizen/videos/5781985412875206-THEY.mp4,data/local/citizen100_v17/raw/train/THEY/5781985412875206-THEY.mp4,404907,440144,70d187b0,19698122144,8
train,3,THEY,THEY1,F_02_103,P29,6030593909711668-THEY.mp4,ASL_Citizen/videos/6030593909711668-THEY.mp4,data/local/citizen100_v17/raw/train/THEY/6030593909711668-THEY.mp4,583736,584389,f3681bec,16793336060,8
train,3,THEY,THEY1,F_02_103,P33,6172830148886315-THEY.mp4,ASL_Citizen/videos/6172830148886315-THEY.mp4,data/local/citizen100_v17/raw/train/THEY/6172830148886315-THEY.mp4,932675,1014124,17d94502,14252168531,8
train,3,THEY,THEY1,F_02_103,P40,7717057217254395-THEY.mp4,ASL_Citizen/videos/7717057217254395-THEY.mp4,data/local/citizen100_v17/raw/train/THEY/7717057217254395-THEY.mp4,586500,633904,5ca13f4e,20316854544,8
train,3,THEY,THEY1,F_02_103,P37,8679293440719862-THEY.mp4,ASL_Citizen/videos/8679293440719862-THEY.mp4,data/local/citizen100_v17/raw/train/THEY/8679293440719862-THEY.mp4,394154,427763,5ea89820,25464130722,8
train,3,THEY,THEY1,F_02_103,P16,8902733237714864-THEY.mp4,ASL_Citizen/videos/8902733237714864-THEY.mp4,data/local/citizen100_v17/raw/train/THEY/8902733237714864-THEY.mp4,422802,456597,28ea3e55,4644462655,8
train,3,THEY,THEY1,F_02_103,P37,8999403469318679-THEY.mp4,ASL_Citizen/videos/8999403469318679-THEY.mp4,data/local/citizen100_v17/raw/train/THEY/8999403469318679-THEY.mp4,335074,363060,3c3ca21d,45746041070,8
train,3,THEY,THEY1,F_02_103,P33,9450633955249712-THEY.mp4,ASL_Citizen/videos/9450633955249712-THEY.mp4,data/local/citizen100_v17/raw/train/THEY/9450633955249712-THEY.mp4,848620,923734,1e04f233,16011649066,8
train,3,THEY,THEY1,F_02_103,P43,9566049112694803-THEY.mp4,ASL_Citizen/videos/9566049112694803-THEY.mp4,data/local/citizen100_v17/raw/train/THEY/9566049112694803-THEY.mp4,413586,449230,466f7e61,17146560640,8
train,3,THEY,THEY1,F_02_103,P38,9802753357268721-THEY.mp4,ASL_Citizen/videos/9802753357268721-THEY.mp4,data/local/citizen100_v17/raw/train/THEY/9802753357268721-THEY.mp4,328664,374112,b5976cfc,10999314688,8
train,3,THEY,THEY1,F_02_103,P31,9975042171428656-THEY.mp4,ASL_Citizen/videos/9975042171428656-THEY.mp4,data/local/citizen100_v17/raw/train/THEY/9975042171428656-THEY.mp4,746518,812761,c12a97fb,24623708034,8
train,4,HE,HE,F_02_044,P27,053732365300724894-HE.mp4,ASL_Citizen/videos/053732365300724894-HE.mp4,data/local/citizen100_v17/raw/train/HE/053732365300724894-HE.mp4,361561,392348,3cfacffc,38641664508,8
train,4,HE,HE,F_02_044,P30,1724846081232847-HE.mp4,ASL_Citizen/videos/1724846081232847-HE.mp4,data/local/citizen100_v17/raw/train/HE/1724846081232847-HE.mp4,419980,455633,0f97d1ac,1688529054,8
train,4,HE,HE,F_02_044,P29,20013893804599103-HE.mp4,ASL_Citizen/videos/20013893804599103-HE.mp4,data/local/citizen100_v17/raw/train/HE/20013893804599103-HE.mp4,353190,353716,55227350,26659172252,8
train,4,HE,HE,F_02_044,P16,2147980308534052-HE.mp4,ASL_Citizen/videos/2147980308534052-HE.mp4,data/local/citizen100_v17/raw/train/HE/2147980308534052-HE.mp4,351846,380841,a54164f1,12816338201,8
train,4,HE,HE,F_02_044,P40,335915499727792-HE.mp4,ASL_Citizen/videos/335915499727792-HE.mp4,data/local/citizen100_v17/raw/train/HE/335915499727792-HE.mp4,458008,496464,ab0ae365,41487220569,8
train,4,HE,HE,F_02_044,P51,33789633569338906-HE.mp4,ASL_Citizen/videos/33789633569338906-HE.mp4,data/local/citizen100_v17/raw/train/HE/33789633569338906-HE.mp4,464912,505602,5b45eeb4,28773103214,8
train,4,HE,HE,F_02_044,P7,3997168861475149-HE.mp4,ASL_Citizen/videos/3997168861475149-HE.mp4,data/local/citizen100_v17/raw/train/HE/3997168861475149-HE.mp4,597526,650362,b094bb61,5144474879,8
