feature_path,split,label,hand_active_output_frames,left_active_output_frames,right_active_output_frames,both_hands_active_output_frames,left_joint_completeness_when_active,right_joint_completeness_when_active,observed_point_confidence_mean,observed_point_confidence_min,detected_hand_source_frames_after_trim,detected_hand_source_frames_before_trim
train/ANGRY/031021396234431675-ANGRY.v17.npz,train,ANGRY,0.8125,0.0,0.8125,0.0,0.0,1.0,0.7920743823051453,0.1348876953125,0.8333333333333334,0.4444444444444444
train/ANGRY/10882043871893354-ANGRY.v17.npz,train,ANGRY,0.875,0.84375,0.875,0.84375,1.0,1.0,0.8040114045143127,0.0924072265625,0.9024390243902439,0.3978494623655914
train/ANGRY/10940148878980427-seedANGRY.v17.npz,train,ANGRY,0.875,0.78125,0.875,0.78125,1.0,1.0,0.7908896207809448,0.102783203125,0.84,0.21875
train/ANGRY/10954121875598655-ANGRY.v17.npz,train,ANGRY,0.875,0.8125,0.875,0.8125,1.0,1.0,0.8057656288146973,0.1336669921875,0.8947368421052632,0.4146341463414634
train/ANGRY/1490020062593329-ANGRY.v17.npz,train,ANGRY,0.875,0.84375,0.84375,0.8125,1.0,1.0,0.7030420303344727,0.0863037109375,0.8787878787878788,0.4142857142857143
train/ANGRY/15471453286217618-ANGRY.v17.npz,train,ANGRY,0.875,0.6875,0.875,0.6875,1.0,1.0,0.8170776963233948,0.07568359375,0.8787878787878788,0.37662337662337664
train/ANGRY/20697031230645102-ANGRY.v17.npz,train,ANGRY,0.875,0.78125,0.875,0.78125,1.0,1.0,0.8262969255447388,0.0902099609375,0.8888888888888888,0.47761194029850745
train/ANGRY/3709997507310303-ANGRY.v17.npz,train,ANGRY,0.875,0.875,0.78125,0.78125,1.0,1.0,0.7937352657318115,0.07666015625,0.9047619047619048,0.4
train/ANGRY/4989883733959082-ANGRY.v17.npz,train,ANGRY,0.875,0.28125,0.8125,0.21875,1.0,1.0,0.7508352398872375,0.0760498046875,0.8108108108108109,0.40540540540540543
train/ANGRY/5083164294431413-ANGRY.v17.npz,train,ANGRY,0.8125,0.8125,0.6875,0.6875,1.0,1.0,0.818340539932251,0.1153564453125,0.7894736842105263,0.39473684210526316
train/ANGRY/6566938551150332-ANGRY.v17.npz,train,ANGRY,0.9375,0.625,0.9375,0.625,1.0,1.0,0.7722257971763611,0.0838623046875,0.8333333333333334,0.5555555555555556
train/ANGRY/759118073893563-ANGRY.v17.npz,train,ANGRY,0.8125,0.6875,0.8125,0.6875,1.0,1.0,0.7714200615882874,0.1461181640625,0.7777777777777778,0.2978723404255319
