apple_available,apple_bone_length_cv,apple_both_hands_active,apple_elapsed_seconds,apple_hand_active,apple_hand_node_presence,apple_source_hand_fraction_after_trim,apple_source_hand_fraction_before_trim,apple_world_depth_fraction,label,mediapipe_t30_available,mediapipe_t30_bone_length_cv,mediapipe_t30_both_hands_active,mediapipe_t30_elapsed_seconds,mediapipe_t30_hand_active,mediapipe_t30_hand_node_presence,mediapipe_t30_source_hand_fraction_after_trim,mediapipe_t30_source_hand_fraction_before_trim,mediapipe_t30_world_depth_fraction,mediapipe_t50_available,mediapipe_t50_bone_length_cv,mediapipe_t50_both_hands_active,mediapipe_t50_elapsed_seconds,mediapipe_t50_hand_active,mediapipe_t50_hand_node_presence,mediapipe_t50_source_hand_fraction_after_trim,mediapipe_t50_source_hand_fraction_before_trim,mediapipe_t50_world_depth_fraction,raw_path,relative_feature_path,split,stratum
True,0.1844382473401624,0.625,0.4414383330000007,0.8125,0.6934523809523809,0.7894736842105263,0.3191489361702128,0.0,ANGRY,True,0.19428957216927734,0.625,1.0063406659999998,0.8125,0.71875,0.7777777777777778,0.2978723404255319,0.6944444444444444,True,0.24868704212374082,0.6875,0.9295973750000002,0.8125,0.75,0.7777777777777778,0.2978723404255319,0.7222222222222222,data/local/citizen100_v17/raw/train/ANGRY/759118073893563-ANGRY.mp4,train/ANGRY/759118073893563-ANGRY.v17.npz,train,train_low
True,0.1481410418237784,0.84375,0.9673198329999995,0.875,0.8511904761904762,0.8823529411764706,0.42857142857142855,0.0,ANGRY,True,0.14469839666375434,0.8125,1.1025124169999998,0.875,0.84375,0.8787878787878788,0.4142857142857143,0.8484848484848485,True,0.14643114494053358,0.8125,1.140519792,0.875,0.84375,0.8787878787878788,0.4142857142857143,0.8484848484848485,data/local/citizen100_v17/raw/train/ANGRY/1490020062593329-ANGRY.mp4,train/ANGRY/1490020062593329-ANGRY.v17.npz,train,train_median
True,0.25916115370550535,0.875,0.8238463339999998,0.875,0.8705357142857143,0.9,0.375,0.0,ANGRY,True,0.16644187859139048,0.8125,1.9320526249999999,0.875,0.84375,0.875,0.3645833333333333,0.8625,True,0.20210684757791972,0.875,1.8971219579999996,0.875,0.875,0.9,0.375,0.875,data/local/citizen100_v17/raw/val/ANGRY/48220722485733747-ANGRY.mp4,val/ANGRY/48220722485733747-ANGRY.v17.npz,val,val_low
True,0.3363227087908342,0.5,0.8650327910000009,0.78125,0.5915178571428571,0.6923076923076923,0.2571428571428571,0.0,ANSWER,True,0.27043463540875656,0.5625,1.4515718339999992,0.8125,0.6875,0.7777777777777778,0.2,0.6666666666666666,True,0.3153257138024357,0.625,1.108909542000001,0.8125,0.71875,0.7647058823529411,0.18571428571428572,0.6764705882352942,data/local/citizen100_v17/raw/train/ANSWER/25219438634060487-ANSWER.mp4,train/ANSWER/25219438634060487-ANSWER.v17.npz,train,train_low
True,0.2621219498061329,0.75,1.0606068330000014,0.875,0.7202380952380952,0.9024390243902439,0.43023255813953487,0.0,ANSWER,True,0.3023344670359513,0.71875,1.7498010829999995,0.875,0.796875,0.8974358974358975,0.4069767441860465,0.8205128205128205,True,0.17024473976193732,0.46875,1.5204184170000001,0.875,0.671875,0.8717948717948718,0.3953488372093023,0.6923076923076923,data/local/citizen100_v17/raw/train/ANSWER/3854742008436718-ANSWER.mp4,train/ANSWER/3854742008436718-ANSWER.v17.npz,train,train_median
True,0.3332760966626406,0.6875,0.5135753329999999,0.875,0.7723214285714286,0.9069767441860465,0.40625,0.0,ANSWER,True,0.29970246645270954,0.78125,2.0646260000000005,0.875,0.828125,0.9047619047619048,0.3958333333333333,0.8452380952380952,True,0.3197905212044541,0.75,2.0326896659999996,0.875,0.8125,0.9024390243902439,0.3854166666666667,0.8292682926829268,data/local/citizen100_v17/raw/val/ANSWER/17262273091142677-ANSWER.mp4,val/ANSWER/17262273091142677-ANSWER.v17.npz,val,val_low
True,0.2978325223211497,0.0,0.36110970800000075,0.8125,0.35267857142857145,0.7272727272727273,0.36363636363636365,0.0,ASK,True,0.22612842524849733,0.0,0.8006459169999989,0.8125,0.40625,0.7777777777777778,0.3181818181818182,0.3888888888888889,True,0.23204134079472177,0.0,0.6869899999999998,0.8125,0.40625,0.7777777777777778,0.3181818181818182,0.3888888888888889,data/local/citizen100_v17/raw/train/ASK/656039289068084-ASK.mp4,train/ASK/656039289068084-ASK.v17.npz,train,train_low
True,0.33865717724341193,0.0,0.8160184170000022,0.875,0.43601190476190477,0.9,0.4864864864864865,0.0,ASK,True,0.2653682469788837,0.03125,1.3767516669999988,0.875,0.453125,0.8648648648648649,0.43243243243243246,0.4594594594594595,True,0.20140192094839826,0.03125,1.2711169589999987,0.875,0.453125,0.8918918918918919,0.44594594594594594,0.4594594594594595,data/local/citizen100_v17/raw/train/ASK/4350117815065837-ASK.mp4,train/ASK/4350117815065837-ASK.v17.npz,train,train_median
True,0.2596860724711156,0.0,0.46012999999999993,0.4375,0.19791666666666666,0.4074074074074074,0.22916666666666666,0.0,ASK,True,0.125135616991281,0.0,2.3465202079999994,0.8125,0.40625,0.8181818181818182,0.1875,0.4090909090909091,True,0.14190173141373336,0.0,1.9920088750000016,0.8125,0.40625,0.8260869565217391,0.19791666666666666,0.41304347826086957,data/local/citizen100_v17/raw/val/ASK/0773952609683628-ASK.mp4,val/ASK/0773952609683628-ASK.v17.npz,val,val_low
True,0.2962584716031911,0.0,0.9917919589999968,0.46875,0.21949404761904762,0.4583333333333333,0.22916666666666666,0.0,BAD,True,0.29347875738729406,0.0,2.1913826249999993,0.46875,0.234375,0.41818181818181815,0.23958333333333334,0.21818181818181817,True,0.1491851794179801,0.0,1.9631265840000012,0.8125,0.40625,0.7916666666666666,0.19791666666666666,0.4166666666666667,data/local/citizen100_v17/raw/train/BAD/6558607659620332-BAD.mp4,train/BAD/6558607659620332-BAD.v17.npz,train,train_low
