candidate_rank,selected_candidate_100,normalized_gloss,popsign_gloss,citizen_raw_glosses,citizen_lex_codes,current_v16_glosses,in_current_v16,popsign_train_signers,popsign_val_signers,popsign_test_signers,citizen_train_signers,citizen_val_signers,citizen_test_signers,combined_train_signers,combined_val_signers,combined_test_signers,popsign_train_videos,popsign_val_videos,popsign_test_videos,citizen_train_videos,citizen_val_videos,citizen_test_videos,meets_20_5_5_combined,requires_variant_audit,coverage_score
1,True,CAN,can,CAN1|CAN2,D_03_027|K_02_027,CAN,True,31,8,8,19,4,11,50,12,19,537,152,145,30,8,23,True,True,11655
2,True,EMPTY,empty,EMPTY1|EMPTY2,E_02_072|J_01_077,EMPTY,True,29,7,7,21,5,11,50,12,18,465,123,135,31,8,21,True,True,11650
3,True,DRINK,drink,DRINK1|DRINK2,B_02_012|K_03_092,DRINK,True,31,8,8,17,4,11,48,12,19,571,139,152,28,9,24,True,True,11635
4,True,NIGHT,night,NIGHT1|NIGHT2,A_01_003|D_02_047,NIGHT,True,31,8,8,16,5,11,47,13,19,550,160,152,27,8,27,True,True,11630
5,True,NO,no,NO,C_03_041,NO,True,31,8,8,16,3,11,47,11,19,571,157,153,16,3,11,True,False,11620
6,True,THANKYOU,thankyou,THANKYOU,H_02_053,THANKYOU,True,31,8,8,16,3,11,47,11,19,557,152,155,16,3,12,True,False,11620
7,True,BOOK,book,BOOK,A_01_027,BOOK,True,31,8,8,15,4,11,46,12,19,552,153,154,15,4,12,True,False,11615
8,True,FALL,fall,FALL1|FALL2,B_03_074|C_03_007,FALL,True,31,8,8,15,4,11,46,12,19,522,152,149,29,8,26,True,True,11615
9,True,TIME,time,TIME,B_02_080,TIME,True,31,8,8,15,4,11,46,12,19,534,136,154,15,4,12,True,False,11615
10,True,NOW,now,NOW,C_03_062,NOW,True,31,8,8,15,3,11,46,11,19,553,150,154,15,3,12,True,False,11610
11,True,UP,up,UP,E_01_069,UP,True,31,8,8,14,5,11,45,13,19,543,153,139,14,5,11,True,False,11610
12,True,FOR,for,FOR,B_03_049,FOR,True,31,8,8,15,3,10,46,11,18,561,152,152,15,3,12,True,False,11605
13,True,HELLO,hello,HELLO,D_02_055,HELLO,True,31,8,8,14,4,11,45,12,19,552,157,151,14,4,14,True,False,11605
14,True,MAN,man,MAN,C_01_040,MAN,True,31,7,7,15,4,11,46,11,18,480,140,119,15,4,12,True,False,11605
15,True,NOT,not,NOT,E_01_100,NOT,True,31,8,8,14,4,11,45,12,19,572,156,156,14,4,12,True,False,11605
16,True,PLEASE,please,PLEASE,B_02_007,PLEASE,True,31,8,8,14,4,11,45,12,19,569,159,155,14,4,13,True,False,11605
17,True,READ,read,READ,A_01_022,READ,True,31,8,8,14,4,11,45,12,19,570,159,154,14,4,13,True,False,11605
18,True,TOMORROW,tomorrow,TOMORROW,F_02_040,TOMORROW,True,31,8,8,15,3,10,46,11,18,571,156,155,16,4,10,True,False,11605
19,True,WHERE,where,WHERE,B_02_035,WHERE,True,31,8,8,14,4,11,45,12,19,551,155,155,14,4,13,True,False,11605
20,True,WHO,who,WHO,C_01_041,WHO,True,31,8,8,14,4,11,45,12,19,526,156,154,14,4,14,True,False,11605
21,True,MORNING,morning,MORNING,C_02_012,MORNING,True,31,7,8,14,4,11,45,11,19,548,138,147,14,4,14,True,False,11600
