split,canonical_gloss,raw_gloss,participant,video,top1,top1_confidence,top1_correct,top5,top5_correct
train,HELLO,HELLO,P31,11225598264242453-HELLO.mp4,HELLO,0.71867102,True,HELLO|COMPANY|KNOW|FATHER|FUTURE,True
train,HELLO,HELLO,P41,25802117645943423-HELLO.mp4,LOUD,0.04163576,False,LOUD|EIGHT|YOUR|SEVEN|AT,False
val,HELLO,HELLO,P12,05614933522741539-HELLO.mp4,HELLO,0.64877796,True,HELLO|HIS_HER|THEIR|IF|LOUD,True
val,HELLO,HELLO,P21,20675411351630046-HELLO.mp4,MOTHER,0.40231568,False,MOTHER|THEIR|HIS_HER|WOMAN|TAKE,False
test,HELLO,HELLO,P35,9203138462369036-HELLO.mp4,HELLO,0.50434005,True,HELLO|FATHER|DRINK|COMPANY|HOUSE,True
test,HELLO,HELLO,P9,7472491282176557-HELLO.mp4,DRINK,0.35014707,False,DRINK|HELLO|FATHER|KNOW|COMPANY,True
train,THANKYOU,THANKYOU,P43,014439537236845323-THANK YOU.mp4,GOOD,0.2911987,False,GOOD|FIVE|PAST|EAT_FOOD|FIFTEEN,False
train,THANKYOU,THANKYOU,P14,06476990357042611-THANK YOU.mp4,GOOD,0.51346302,False,GOOD|MY|MORNING|NEW|COUNTRY,False
val,THANKYOU,THANKYOU,P39,16870669316247833-THANK YOU.mp4,MY,0.21029171,False,MY|GOOD|DIRTY|COUNTRY|NEW,False
val,THANKYOU,THANKYOU,P21,0006320057552187119-THANK YOU.mp4,GOOD,0.81766903,False,GOOD|HAPPY|THANKYOU|MY|FIVE,True
test,THANKYOU,THANKYOU,P47,08583141071601874-THANK YOU.mp4,GOOD,0.76903594,False,GOOD|MORNING|EASY|FIVE|SLEEP,False
test,THANKYOU,THANKYOU,P9,6788237257016723-THANK YOU.mp4,GOOD,0.37920612,False,GOOD|FIVE|THANKYOU|EAT_FOOD|PAST,True
train,GOODBYE,BYE,P33,374824970052654-BYE.mp4,AT,0.12568633,False,AT|YES|QUESTION|WORK|WORKER,False
