split,canonical_gloss,raw_gloss,lex_code,participant,video,width,height,orientation,fps,reported_frames,decoded_frames,decode_complete,duration_seconds,file_bytes,extraction_status,hand_mask_fraction
train,HELLO,HELLO,D_02_055,P31,11225598264242453-HELLO.mp4,640,480,landscape,30.0,69,69,True,2.3,475568,ok,0.4375
train,HELLO,HELLO,D_02_055,P41,25802117645943423-HELLO.mp4,640,480,landscape,29.967,100,100,True,3.337,681175,ok,0.296875
val,HELLO,HELLO,D_02_055,P12,05614933522741539-HELLO.mp4,640,480,landscape,30.0,54,54,True,1.8,397495,ok,0.4375
val,HELLO,HELLO,D_02_055,P21,20675411351630046-HELLO.mp4,640,480,landscape,29.9194,52,52,True,1.738,382942,ok,0.4375
test,HELLO,HELLO,D_02_055,P35,9203138462369036-HELLO.mp4,640,480,landscape,29.9956,68,68,True,2.267,456181,ok,0.4375
test,HELLO,HELLO,D_02_055,P9,7472491282176557-HELLO.mp4,640,480,landscape,29.9696,128,128,True,4.271,858499,ok,0.453125
train,THANKYOU,THANKYOU,H_02_053,P43,014439537236845323-THANK YOU.mp4,640,480,landscape,29.9966,89,89,True,2.967,636426,ok,0.484375
train,THANKYOU,THANKYOU,H_02_053,P14,06476990357042611-THANK YOU.mp4,640,480,landscape,29.97,60,60,True,2.002,419107,ok,0.640625
val,THANKYOU,THANKYOU,H_02_053,P39,16870669316247833-THANK YOU.mp4,640,480,landscape,30.0,117,117,True,3.9,815134,ok,0.328125
val,THANKYOU,THANKYOU,H_02_053,P21,0006320057552187119-THANK YOU.mp4,640,480,landscape,30.0065,46,46,True,1.533,329503,ok,0.46875
test,THANKYOU,THANKYOU,H_02_053,P47,08583141071601874-THANK YOU.mp4,640,480,landscape,25.029,87,87,True,3.476,608439,ok,0.421875
test,THANKYOU,THANKYOU,H_02_053,P9,6788237257016723-THANK YOU.mp4,640,480,landscape,30.375,88,88,True,2.8971,658464,ok,0.3125
train,GOODBYE,BYE,E_01_058,P33,374824970052654-BYE.mp4,640,480,landscape,30.0,165,165,True,5.5,1092175,ok,0.484375
train,GOODBYE,BYE,E_01_058,P31,516342335411355-BYE.mp4,640,480,landscape,29.9184,66,66,True,2.206,464038,ok,0.453125
val,GOODBYE,BYE,E_01_058,P39,9710569622157019-BYE.mp4,640,480,landscape,30.0024,127,127,True,4.233,890458,ok,0.46875
val,GOODBYE,BYE,E_01_058,P26,2889010159260097-BYE.mp4,640,480,landscape,30.605,46,46,True,1.503,345732,ok,0.453125
test,GOODBYE,BYE,E_01_058,P49,2223181186410932-BYE.mp4,640,480,landscape,14.997,25,25,True,1.667,220223,ok,0.421875
test,GOODBYE,BYE,E_01_058,P35,5023793115629094-BYE.mp4,640,480,landscape,29.9169,54,54,True,1.805,379432,ok,0.4375
train,YOU,YOU,D_02_065,P31,2775935043696396-YOU.mp4,640,480,landscape,29.9644,59,59,True,1.969,368100,ok,0.453125
train,YOU,YOU,D_02_065,P11,6298308396800849-YOU.mp4,640,480,landscape,30.007,43,43,True,1.433,304941,ok,0.421875
val,YOU,YOU,D_02_065,P39,35038040842137197-YOU.mp4,640,480,landscape,30.0025,118,118,True,3.933,828218,ok,0.609375
val,YOU,YOU,D_02_065,P21,19643383002170656-YOU.mp4,640,480,landscape,30.791,42,42,True,1.364,300647,ok,0.421875
test,YOU,YOU,D_02_065,P48,2585581282288061-YOU.mp4,640,480,landscape,30.0,66,66,True,2.2,487234,ok,0.453125
test,YOU,YOU,D_02_065,P22,7900211756909432-YOU.mp4,640,480,landscape,30.0097,31,31,True,1.033,184198,ok,0.40625
train,WHAT,WHAT2,D_02_084,P16,8979365940146831-WHAT 1.mp4,640,480,landscape,30.0039,76,76,True,2.533,523685,ok,0.921875
train,WHAT,WHAT1,D_02_094,P37,8405493387581946-WHAT 2.mp4,640,480,landscape,29.9964,83,83,True,2.767,577664,ok,0.859375
val,WHAT,WHAT2,D_02_084,P21,11792300756428031-WHAT 1.mp4,640,480,landscape,29.9776,67,67,True,2.235,475581,ok,0.796875
val,WHAT,W.H.A.T,G_02_089,P39,8109633899553168-W.H.A.T.mp4,640,480,landscape,30.0024,124,124,True,4.133,800997,ok,0.359375
test,WHAT,WHAT1,D_02_094,P18,8880006166221515-WHAT 2.mp4,640,480,landscape,25.0,64,64,True,2.56,453171,ok,0.84375
test,WHAT,W.H.A.T,G_02_089,P9,5811270308098746-W.H.A.T.mp4,640,480,landscape,29.9194,104,104,True,3.476,742966,ok,0.5
train,HELP,HELP,D_01_042,P20,07603691172028904-HELP.mp4,640,480,landscape,30.0038,79,79,True,2.633,580772,ok,0.671875
train,HELP,HELP,D_01_042,P30,5574926687456125-HELP.mp4,640,480,landscape,30.0039,76,76,True,2.533,526701,ok,0.734375
val,HELP,HELP,D_01_042,P21,6037747479203328-HELP.mp4,640,480,landscape,30.655,58,58,True,1.892,411657,ok,0.921875
val,HELP,HELP,D_01_042,P5,8534077485600235-HELP.mp4,640,480,landscape,29.9966,89,89,True,2.967,612929,ok,0.75
test,HELP,HELP,D_01_042,P49,3000270038189985-HELP.mp4,640,480,landscape,29.9958,71,71,True,2.367,474243,ok,0.859375
test,HELP,HELP,D_01_042,P48,7353034835882497-HELP.mp4,640,480,landscape,30.0037,82,82,True,2.733,587226,ok,0.9375
train,LOVE,LOVE,G_01_068,P27,13717057044445125-LOVE.mp4,640,480,landscape,29.976,50,50,True,1.668,346403,ok,0.921875
train,LOVE,LOVE,G_01_068,P29,4841662498241295-LOVE.mp4,640,480,landscape,30.0,42,42,True,1.4,397315,ok,0.875
val,LOVE,LOVE,G_01_068,P5,23909248218883028-LOVE.mp4,640,480,landscape,29.9202,90,90,True,3.008,644522,ok,0.765625
val,LOVE,LOVE,G_01_068,P21,7300348171338833-LOVE.mp4,640,480,landscape,29.9728,66,66,True,2.202,442238,ok,0.84375
test,LOVE,LOVE,G_01_068,P18,44419065960377635-LOVE.mp4,640,480,landscape,25.0,74,74,True,2.96,522315,ok,0.859375
test,LOVE,LOVE,G_01_068,P15,4243347380620037-LOVE.mp4,640,480,landscape,29.9693,215,215,True,7.174,1456649,ok,0.875
train,COME,COME,C_03_074,P31,45473820037956725-COME.mp4,640,480,landscape,29.9747,83,83,True,2.769,555121,ok,0.828125
train,COME,COME,C_03_074,P16,5774324878258876-COME.mp4,640,480,landscape,30.0058,52,52,True,1.733,380149,ok,0.390625
val,COME,COME,C_03_074,P26,24064885357062593-COME.mp4,640,480,landscape,30.428,66,66,True,2.1691,459542,ok,0.640625
val,COME,COME,C_03_074,P21,2294900578606751-COME.mp4,640,480,landscape,29.9667,54,54,True,1.802,369850,ok,0.4375
test,COME,COME,C_03_074,P35,5170125336404756-COME.mp4,640,480,landscape,30.0,55,55,True,1.8333,396696,ok,0.3125
test,COME,COME,C_03_074,P49,7403167170909308-COME.mp4,640,480,landscape,30.0061,49,49,True,1.633,353051,ok,0.421875
train,GOOD,GOOD,B_01_052,P33,27179636245697747-GOOD.mp4,640,480,landscape,30.0,138,138,True,4.6,914740,ok,0.484375
train,GOOD,GOOD,B_01_052,P4,04439224802145447-GOOD.mp4,640,480,landscape,29.997,101,101,True,3.367,654109,ok,0.34375
val,GOOD,GOOD,B_01_052,P39,4843579408025589-GOOD.mp4,640,480,landscape,29.9976,125,125,True,4.167,851286,ok,0.359375
val,GOOD,GOOD,B_01_052,P26,25290749191933815-GOOD.mp4,640,480,landscape,29.9742,58,58,True,1.935,404894,ok,0.453125
test,GOOD,GOOD,B_01_052,P35,008087702450223277-GOOD.mp4,640,480,landscape,29.9712,52,52,True,1.735,350055,ok,0.4375
test,GOOD,GOOD,B_01_052,P15,22413626372355933-GOOD.mp4,640,480,landscape,29.9719,96,96,True,3.203,659427,ok,0.609375
train,SCHOOL,SCHOOL,C_03_089,P40,3380520143388104-SCHOOL.mp4,640,480,landscape,29.9968,95,95,True,3.167,1154328,ok,0.828125
train,SCHOOL,SCHOOL,C_03_089,P2,06483601782154702-SCHOOL.mp4,640,480,landscape,29.995,65,65,True,2.167,389376,ok,0.890625
val,SCHOOL,SCHOOL,C_03_089,P21,7861062216231951-SCHOOL.mp4,640,480,landscape,29.9224,81,81,True,2.707,575619,ok,0.6875
val,SCHOOL,SCHOOL,C_03_089,P26,02185976473813267-SCHOOL.mp4,640,480,landscape,30.47,77,77,True,2.5271,525717,ok,0.921875
test,SCHOOL,SCHOOL,C_03_089,P35,8188942667223229-SCHOOL.mp4,640,480,landscape,29.995,62,62,True,2.067,460243,ok,0.796875
test,SCHOOL,SCHOOL,C_03_089,P49,7977130285572864-SCHOOL.mp4,640,480,landscape,30.0,81,81,True,2.7,567181,ok,0.875
train,HOSPITAL,HOSPITAL2,J_02_022,P50,5890664516839825-HOSPITAL 2.mp4,640,480,landscape,30.0045,67,67,True,2.233,485946,ok,0.4375
train,HOSPITAL,HOSPITAL1,B_02_026,P31,8842873768781858-HOSPITAL.mp4,640,480,landscape,30.0037,82,82,True,2.733,554362,ok,0.890625
val,HOSPITAL,HOSPITAL2,J_02_022,P21,41125949539634643-HOSPITAL 2.mp4,640,480,landscape,29.9667,54,54,True,1.802,364772,ok,0.40625
val,HOSPITAL,HOSPITAL1,B_02_026,P39,5851960225980641-HOSPITAL.mp4,640,480,landscape,30.0,141,141,True,4.7,974060,ok,0.71875
test,HOSPITAL,HOSPITAL1,B_02_026,P35,7921373203371331-HOSPITAL.mp4,640,480,landscape,30.0,80,80,True,2.6667,572697,ok,0.84375
test,HOSPITAL,HOSPITAL2,J_02_022,P18,6346112014419762-HOSPITAL 2.mp4,640,480,landscape,25.0,72,72,True,2.88,513361,ok,0.390625
train,DRINK,DRINK2,K_03_092,P27,6275909006677276-DRINK 2.mp4,640,480,landscape,29.9667,54,54,True,1.802,385285,ok,0.46875
train,DRINK,DRINK1,B_02_012,P37,8114625026876388-DRINK.mp4,640,480,landscape,30.0,54,54,True,1.8,390247,ok,0.4375
val,DRINK,DRINK2,K_03_092,P39,5470582351678035-DRINK 2.mp4,640,480,landscape,29.9982,170,170,True,5.667,1152877,ok,0.671875
val,DRINK,DRINK1,B_02_012,P21,8038145060553852-DRINK.mp4,640,480,landscape,30.0,45,45,True,1.5,308938,ok,0.40625
test,DRINK,DRINK1,B_02_012,P49,4266956774131161-DRINK.mp4,640,480,landscape,14.9157,23,23,True,1.542,197334,ok,0.375
test,DRINK,DRINK2,K_03_092,P47,6756383681583675-DRINK 2.mp4,640,480,landscape,29.667,99,99,True,3.337,681354,ok,0.421875
