canonical_label,clips,tier_a_dual_top1,tier_b_dual_top5_one_top1,tier_c_dual_top5_only,quarantine_model_disagreement,quarantine_extraction_quality,quarantine_lexical_mismatch,quarantine_exact_duplicate,training_approved
ANGRY,7,1,1,0,3,2,0,0,False
ANSWER,7,2,0,2,2,1,0,0,False
ASK,7,1,1,2,2,1,0,0,False
BAD,7,3,3,1,0,0,0,0,False
BIG,7,1,1,2,2,1,0,0,False
CHILD,7,4,1,0,2,0,0,0,False
COLD,7,3,2,0,1,1,0,0,False
COME,7,0,0,1,6,0,0,0,False
DAY,7,6,0,1,0,0,0,0,False
DIFFERENT,7,6,1,0,0,0,0,0,False
DOCTOR,7,0,0,0,0,0,7,0,False
DRINK,7,0,0,0,0,0,7,0,False
EASY,7,5,1,0,0,1,0,0,False
EAT,7,0,0,0,0,0,7,0,False
EXCITED,7,7,0,0,0,0,0,0,False
FAMILY,7,7,0,0,0,0,0,0,False
FATHER,7,3,3,1,0,0,0,0,False
FEEL,7,4,1,0,2,0,0,0,False
FRIEND,7,1,3,0,3,0,0,0,False
GIVE,7,1,2,0,1,3,0,0,False
GO,7,0,3,2,0,2,0,0,False
GOOD,7,0,2,2,2,1,0,0,False
GOODBYE,7,0,0,0,0,0,7,0,False
HAPPY,7,1,2,0,2,2,0,0,False
HEAR,7,0,0,0,0,0,7,0,False
HELLO,7,1,2,1,0,3,0,0,False
HELP,7,0,3,0,1,3,0,0,False
HOSPITAL,7,0,0,0,0,0,7,0,False
HOT,7,4,0,0,3,0,0,0,False
HOW,7,0,0,0,0,0,7,0,False
IMPORTANT,7,4,1,0,0,2,0,0,False
KNOW,7,4,2,0,0,1,0,0,False
LANGUAGE,7,2,2,1,0,2,0,0,False
LEARN,7,5,1,0,0,1,0,0,False
LESS,7,4,0,0,3,0,0,0,False
LIKE,7,3,1,0,1,2,0,0,False
LOVE,7,2,0,0,0,5,0,0,False
MAKE,7,4,1,0,0,2,0,0,False
MAN,7,5,0,0,1,1,0,0,False
MAYBE,7,2,0,0,0,5,0,0,False
MORE,7,6,0,0,0,1,0,0,False
MORNING,7,4,0,1,0,2,0,0,False
MOTHER,7,4,2,1,0,0,0,0,False
MY,7,0,2,1,2,2,0,0,False
NAME,7,6,0,1,0,0,0,0,False
NEED,7,1,2,1,2,1,0,0,False
NIGHT,7,0,0,0,0,0,7,0,False
NO,7,4,0,2,1,0,0,0,False
NOW,7,1,1,0,0,5,0,0,False
OUR,7,6,0,0,0,1,0,0,False
PLEASE,7,7,0,0,0,0,0,0,False
READ,7,2,2,1,1,1,0,0,False
READY,7,4,1,0,0,2,0,0,False
SAD,7,6,1,0,0,0,0,0,False
SCHOOL,7,2,2,0,0,3,0,0,False
SEE,7,7,0,0,0,0,0,0,False
SIGN,7,1,0,0,5,1,0,0,False
SLEEP,7,4,1,0,0,2,0,0,False
SMALL,7,4,1,0,2,0,0,0,False
SORRY,7,6,0,0,0,1,0,0,False
STOP,7,1,0,0,1,5,0,0,False
TAKE,7,0,1,1,4,1,0,0,False
TELL,7,6,1,0,0,0,0,0,False
THANKYOU,7,4,1,0,1,1,0,0,False
THEY,7,0,0,0,0,0,7,0,False
THINK,7,5,1,0,0,1,0,0,False
TIME,7,2,0,1,1,3,0,0,False
TIRED,7,4,0,0,0,3,0,0,False
TOMORROW,7,5,0,1,0,1,0,0,False
TRY,7,2,0,1,0,4,0,0,False
UNDERSTAND,7,2,1,1,2,1,0,0,False
USE,7,4,0,0,2,1,0,0,False
WAIT,7,1,0,0,2,4,0,0,False
WANT,7,0,0,0,0,0,7,0,False
WATER,7,3,2,0,1,1,0,0,False
WEEK,7,2,2,0,0,3,0,0,False
WHAT,7,0,0,0,0,0,7,0,False
WHEN,7,2,1,1,0,3,0,0,False
WHERE,7,1,2,2,1,1,0,0,False
WHO,7,3,1,1,1,1,0,0,False
WHY,7,0,1,3,3,0,0,0,False
WOMAN,7,0,0,0,0,0,7,0,False
WORK,7,4,1,0,0,2,0,0,False
WRITE,7,1,1,1,3,1,0,0,False
YEAR,7,5,0,1,0,1,0,0,False
YES,7,1,4,1,0,1,0,0,False
YESTERDAY,7,5,0,0,1,1,0,0,False
YOU,7,3,1,2,1,0,0,0,False
YOUR,7,1,1,0,4,1,0,0,False
