canonical_label,citizen_raw_gloss,citizen_asl_lex_code,clips,signers,top1_hits,top5_hits,mean_true_probability,triage,training_approved
ANGRY,ANGRY,B_01_070,2,2,2,2,0.7428396344184875,model_consistent_manual_variant_review_required,False
BIG,BIG,F_02_054,3,3,3,3,0.5786316792170206,model_consistent_manual_variant_review_required,False
FIND,FIND,B_03_076,2,2,0,0,0.013000435719732195,high_risk_manual_variant_review_required,False
FRIEND,FRIEND,D_03_010,3,3,3,3,0.6891319354375204,model_consistent_manual_variant_review_required,False
GOOD,GOOD,B_01_052,3,3,2,3,0.2707548439502716,model_consistent_manual_variant_review_required,False
HAPPY,HAPPY,C_03_078,3,3,1,3,0.21766041591763496,ambiguous_manual_variant_review_required,False
HAVE,HAVE,B_03_057,2,2,1,2,0.5097691901028156,model_consistent_manual_variant_review_required,False
HE,HE,F_02_044,2,2,0,0,0.014609645353630185,high_risk_manual_variant_review_required,False
HELLO,HELLO,D_02_055,2,2,0,0,0.006314231199212372,high_risk_manual_variant_review_required,False
HELP,HELP,D_01_042,2,2,0,2,0.08244964852929115,ambiguous_manual_variant_review_required,False
HOME,HOME,B_03_063,2,2,1,1,0.34556224197149277,ambiguous_manual_variant_review_required,False
HOT,HOT,F_02_093,2,2,2,2,0.6777537763118744,model_consistent_manual_variant_review_required,False
HUNGRY,HUNGRY,C_01_010,2,2,1,1,0.13525198068236932,ambiguous_manual_variant_review_required,False
LIKE,LIKE,F_03_063,3,3,3,3,0.885477344195048,model_consistent_manual_variant_review_required,False
LISTEN,LISTEN,K_01_117,2,2,1,1,0.33086682204157114,ambiguous_manual_variant_review_required,False
MOTHER,MOTHER,B_02_008,3,3,1,3,0.20310468785464764,ambiguous_manual_variant_review_required,False
NEED,NEED,C_02_034,2,2,1,1,0.4665344347595237,ambiguous_manual_variant_review_required,False
READ,READ,A_01_022,1,1,0,1,0.13382385671138763,ambiguous_manual_variant_review_required,False
SICK,SICK,B_01_072,3,3,3,3,0.521484911441803,model_consistent_manual_variant_review_required,False
SIGN,SIGN,E_03_050,3,3,2,2,0.5895715976754824,ambiguous_manual_variant_review_required,False
TAKE,TAKE,G_01_093,1,1,0,0,0.005015408154577017,high_risk_manual_variant_review_required,False
UNDERSTAND,UNDERSTAND,C_01_006,2,2,2,2,0.7355338633060455,model_consistent_manual_variant_review_required,False
WAIT,WAIT,B_02_016,2,2,0,2,0.14165008999407291,ambiguous_manual_variant_review_required,False
WE,WE,G_03_019,3,3,3,3,0.6903496086597443,model_consistent_manual_variant_review_required,False
WEEK,WEEK,B_02_079,1,1,0,1,0.03266052529215813,ambiguous_manual_variant_review_required,False
WHEN,WHEN,C_03_086,1,1,1,1,0.5183291435241699,ambiguous_manual_variant_review_required,False
WHERE,WHERE,B_02_035,1,1,0,0,0.008322087116539478,high_risk_manual_variant_review_required,False
WHY,WHY,D_01_067,2,2,1,2,0.4766373038291931,model_consistent_manual_variant_review_required,False
WRITE,WRITE,D_01_051,1,1,1,1,0.6802756786346436,ambiguous_manual_variant_review_required,False
YOUR,YOUR,F_01_052,1,1,0,0,0.007207117043435574,high_risk_manual_variant_review_required,False
