canonical_label,citizen_raw_gloss,citizen_asl_lex_code,popsign_gloss,clips,top1_hits,top5_hits,mean_true_probability,triage,training_approved
BAD,BAD,B_02_082,bad,3,2,2,0.2665735677195092,ambiguous_manual_review_required,False
CHILD,CHILD,F_03_101,child,3,0,1,0.0943531325707833,high_risk_manual_review_required,False
DRINK,DRINK1,B_02_012,drink,3,1,1,0.16259055522580942,high_risk_manual_review_required,False
FATHER,FATHER,B_01_077,dad,3,3,3,0.6896880467732748,model_consistent_manual_review_required,False
FIND,FIND,B_03_076,find,3,2,3,0.45601625740528107,model_consistent_manual_review_required,False
GIVE,GIVE,F_01_023,give,3,2,3,0.38025185217459995,model_consistent_manual_review_required,False
GO,GO,C_03_056,go,3,0,0,0.0017262706145023305,high_risk_manual_review_required,False
GOODBYE,BYE,E_01_058,bye,3,1,2,0.3545921037827308,ambiguous_manual_review_required,False
HAPPY,HAPPY,C_03_078,happy,3,1,2,0.18463675181070963,ambiguous_manual_review_required,False
HAVE,HAVE,B_03_057,have,3,0,2,0.03729496275385221,ambiguous_manual_review_required,False
HEAR,HEAR2,J_02_006,hear,3,0,1,0.04244780090327064,high_risk_manual_review_required,False
HELLO,HELLO,D_02_055,hello,3,2,2,0.44062549372514087,ambiguous_manual_review_required,False
HOME,HOME,B_03_063,home,3,2,3,0.2996312081813812,model_consistent_manual_review_required,False
HOT,HOT,F_02_093,hot,3,2,3,0.5287042086323103,model_consistent_manual_review_required,False
HUNGRY,HUNGRY,C_01_010,hungry,3,1,3,0.28474970658620197,ambiguous_manual_review_required,False
LIKE,LIKE,F_03_063,like,3,1,3,0.19313129037618637,ambiguous_manual_review_required,False
LISTEN,LISTEN,K_01_117,listen,3,0,0,0.013224115342988322,high_risk_manual_review_required,False
MAKE,MAKE,C_01_032,make,3,0,1,0.023732198402285576,high_risk_manual_review_required,False
MAN,MAN,C_01_040,man,3,2,2,0.4901592065580189,ambiguous_manual_review_required,False
MORNING,MORNING,C_02_012,morning,3,0,2,0.03289341181516647,ambiguous_manual_review_required,False
MOTHER,MOTHER,B_02_008,mom,3,0,2,0.11284955622007449,ambiguous_manual_review_required,False
NIGHT,NIGHT1,A_01_003,night,3,1,3,0.12430795033772786,ambiguous_manual_review_required,False
NO,NO,C_03_041,no,3,1,2,0.3481690585613251,ambiguous_manual_review_required,False
NOW,NOW,C_03_062,now,3,0,2,0.050242502242326736,ambiguous_manual_review_required,False
PLEASE,PLEASE,B_02_007,please,3,2,3,0.49498623609542847,model_consistent_manual_review_required,False
READ,READ,A_01_022,read,3,0,0,0.0018596889082497607,high_risk_manual_review_required,False
SAD,SAD,B_02_053,sad,3,0,0,0.0013757651516546805,high_risk_manual_review_required,False
SAME,SAME1,B_02_009,same,3,2,3,0.2516753723224004,model_consistent_manual_review_required,False
SEE,SEE,C_02_030,see,3,2,2,0.4702633507549763,ambiguous_manual_review_required,False
SICK,SICK,B_01_072,sick,3,0,3,0.0982546644906203,ambiguous_manual_review_required,False
SLEEP,SLEEP,B_03_037,sleep,3,2,3,0.5437026073535284,model_consistent_manual_review_required,False
TALK,TALK1,C_01_008,talk,3,3,3,0.5900335311889648,model_consistent_manual_review_required,False
THANKYOU,THANKYOU,H_02_053,thankyou,3,1,2,0.3036535537491242,ambiguous_manual_review_required,False
THINK,THINK,C_03_053,think,3,0,2,0.018923554724703234,ambiguous_manual_review_required,False
TIME,TIME,B_02_080,time,3,0,1,0.030319399782456458,high_risk_manual_review_required,False
TOMORROW,TOMORROW,F_02_040,tomorrow,3,2,2,0.4839622961978118,ambiguous_manual_review_required,False
WAIT,WAIT,B_02_016,wait,3,0,1,0.03604502991462747,high_risk_manual_review_required,False
WATER,WATER,A_02_031,water,3,1,2,0.28409567569421296,ambiguous_manual_review_required,False
WHERE,WHERE,B_02_035,where,3,1,2,0.17867568507790565,ambiguous_manual_review_required,False
WHO,WHO,C_01_041,who,3,1,3,0.28577620287736255,ambiguous_manual_review_required,False
WHY,WHY,D_01_067,why,3,2,2,0.4378282241523266,ambiguous_manual_review_required,False
YES,YES,G_03_074,yes,3,0,2,0.08466707534777622,ambiguous_manual_review_required,False
YESTERDAY,YESTERDAY,D_01_024,yesterday,3,0,0,0.0342530746323367,high_risk_manual_review_required,False
