feature_path,video_path,split,label,orientation,width,height,source_frames_before_trim,source_frames_after_trim,elapsed_seconds,hand_frame_fraction_before_trim,hand_frame_fraction_after_trim,hand_presence_fraction,face_presence_fraction,body_presence_fraction,shoulder_coverage,normalization_source,chirality_left,chirality_right,chirality_unknown,finite,binary_presence,missing_spatial_zero,missing_confidence_zero,valid_shape
ANGRY/8D3KX0QsDVnCvUivPnLe.v17.npz,data/local/semlex_citizen100_train_audit/raw/ANGRY/8D3KX0QsDVnCvUivPnLe.webm,,ANGRY,landscape,1280,720,34,25,0.430318541,0.6176470588235294,0.84,0.77978515625,0.6875,0.203125,0.36,shoulder_width,19,17,0,True,True,True,True,True
ANGRY/BB7gQhrDsccTRLUXdzaY.v17.npz,data/local/semlex_citizen100_train_audit/raw/ANGRY/BB7gQhrDsccTRLUXdzaY.webm,,ANGRY,landscape,640,480,59,34,0.31184491699999994,0.5084745762711864,0.8823529411764706,0.7900390625,0.71875,0.015625,0.029411764705882353,shoulder_width,28,28,0,True,True,True,True,True
ANGRY/Hspqt3QrAlfQRr7mWpUh.v17.npz,data/local/semlex_citizen100_train_audit/raw/ANGRY/Hspqt3QrAlfQRr7mWpUh.webm,,ANGRY,landscape,640,480,80,26,0.37145174999999986,0.2625,0.8076923076923077,0.75390625,0.65625,0.4921875,0.6538461538461539,shoulder_width,16,20,0,True,True,True,True,True
ANGRY/IkD0zbT3MlxgeNmYL58k.v17.npz,data/local/semlex_citizen100_train_audit/raw/ANGRY/IkD0zbT3MlxgeNmYL58k.webm,,ANGRY,landscape,640,480,32,23,0.15794350000000001,0.59375,0.8260869565217391,0.615234375,0.75,0.75,0.7391304347826086,shoulder_width,17,10,0,True,True,True,True,True
ANGRY/K3GSv0MsIOr8HTH9ME5R.v17.npz,data/local/semlex_citizen100_train_audit/raw/ANGRY/K3GSv0MsIOr8HTH9ME5R.webm,,ANGRY,landscape,640,480,47,33,0.2515977909999998,0.6170212765957447,0.8787878787878788,0.75,0.75,0.625,0.5151515151515151,shoulder_width,23,29,0,True,True,True,True,True
ANGRY/NVYbCFfGoJgBuKdqKRZ6.v17.npz,data/local/semlex_citizen100_train_audit/raw/ANGRY/NVYbCFfGoJgBuKdqKRZ6.webm,,ANGRY,landscape,640,480,44,33,0.2346129170000002,0.6590909090909091,0.8787878787878788,0.6875,0.75,0.140625,0.2727272727272727,shoulder_width,22,29,0,True,True,True,True,True
ANGRY/Qb6UHreWxAVBdvw1nlBI.v17.npz,data/local/semlex_citizen100_train_audit/raw/ANGRY/Qb6UHreWxAVBdvw1nlBI.webm,,ANGRY,landscape,640,480,62,50,0.33376866699999974,0.7419354838709677,0.92,0.79150390625,0.8125,0.8125,0.82,shoulder_width,37,46,0,True,True,True,True,True
ANGRY/Ub5scLZkHuSK4OCaPmy2.v17.npz,data/local/semlex_citizen100_train_audit/raw/ANGRY/Ub5scLZkHuSK4OCaPmy2.webm,,ANGRY,landscape,640,480,69,43,0.364793583,0.5652173913043478,0.9069767441860465,0.8369140625,0.9375,0.9375,0.9534883720930233,shoulder_width,39,35,0,True,True,True,True,True
ANGRY/W7N1R57OrOZguwBqc9aA.v17.npz,data/local/semlex_citizen100_train_audit/raw/ANGRY/W7N1R57OrOZguwBqc9aA.webm,,ANGRY,landscape,640,480,55,38,0.2789197080000001,0.6181818181818182,0.8947368421052632,0.6865234375,0.65625,0.65625,0.6578947368421053,shoulder_width,31,24,0,True,True,True,True,True
ANGRY/eZsjOULjWw4jKY92bONR.v17.npz,data/local/semlex_citizen100_train_audit/raw/ANGRY/eZsjOULjWw4jKY92bONR.webm,,ANGRY,landscape,640,480,88,34,0.40339533400000027,0.3409090909090909,0.8823529411764706,0.7626953125,0.71875,0.1328125,0.2647058823529412,shoulder_width,29,28,0,True,True,True,True,True
ANGRY/fx8IGY3FEfNp4N6et7vm.v17.npz,data/local/semlex_citizen100_train_audit/raw/ANGRY/fx8IGY3FEfNp4N6et7vm.webm,,ANGRY,landscape,1280,720,53,32,0.35687429199999965,0.5283018867924528,0.875,0.7001953125,0.78125,0.015625,0.03125,shoulder_width,27,21,0,True,True,True,True,True
ANGRY/gCQziDjm59tSsRqjF6dT.v17.npz,data/local/semlex_citizen100_train_audit/raw/ANGRY/gCQziDjm59tSsRqjF6dT.webm,,ANGRY,landscape,640,480,72,42,0.39690091699999996,0.5277777777777778,0.9047619047619048,0.83544921875,0.78125,0.78125,0.7857142857142857,shoulder_width,35,38,0,True,True,True,True,True
ANGRY/ixPRrBhlmdLSSweFQUcf.v17.npz,data/local/semlex_citizen100_train_audit/raw/ANGRY/ixPRrBhlmdLSSweFQUcf.webm,,ANGRY,landscape,640,480,42,29,0.2221110829999997,0.5952380952380952,0.8620689655172413,0.7001953125,0.875,0.03125,0.06896551724137931,shoulder_width,18,25,0,True,True,True,True,True
ANGRY/mX2Bz5kphefU0WJ9Dau7.v17.npz,data/local/semlex_citizen100_train_audit/raw/ANGRY/mX2Bz5kphefU0WJ9Dau7.webm,,ANGRY,landscape,640,480,38,25,0.19841474999999953,0.5526315789473685,0.84,0.6279296875,0.6875,0.375,0.68,shoulder_width,11,21,0,True,True,True,True,True
ANGRY/pH7PuV3vU0VXSTx1lAhx.v17.npz,data/local/semlex_citizen100_train_audit/raw/ANGRY/pH7PuV3vU0VXSTx1lAhx.webm,,ANGRY,landscape,640,480,45,31,0.2301087500000003,0.5555555555555556,0.8064516129032258,0.73193359375,0.8125,0.0546875,0.06451612903225806,shoulder_width,25,20,0,True,True,True,True,True
ANGRY/tJ2gPKQ56tgCTJdbKPSW.v17.npz,data/local/semlex_citizen100_train_audit/raw/ANGRY/tJ2gPKQ56tgCTJdbKPSW.webm,,ANGRY,landscape,640,480,50,39,0.2785370839999999,0.66,0.8461538461538461,0.77685546875,0.84375,0.4296875,0.8461538461538461,shoulder_width,28,33,0,True,True,True,True,True
ANGRY/x9ZtZ4bhI3C3k6X1PWFg.v17.npz,data/local/semlex_citizen100_train_audit/raw/ANGRY/x9ZtZ4bhI3C3k6X1PWFg.webm,,ANGRY,landscape,640,480,46,38,0.2674481670000004,0.7391304347826086,0.8947368421052632,0.79541015625,0.875,0.5078125,0.868421052631579,shoulder_width,34,30,0,True,True,True,True,True
ANSWER/3YvzncJ9MJMsafG0htS4.v17.npz,data/local/semlex_citizen100_train_audit/raw/ANSWER/3YvzncJ9MJMsafG0htS4.webm,,ANSWER,landscape,640,480,35,17,0.18230195800000004,0.34285714285714286,0.7058823529411765,0.35107421875,0.5625,0.296875,0.5294117647058824,shoulder_width,0,12,0,True,True,True,True,True
ANSWER/CgBMz8JIG2lNv6vFOjfL.v17.npz,data/local/semlex_citizen100_train_audit/raw/ANSWER/CgBMz8JIG2lNv6vFOjfL.webm,,ANSWER,landscape,640,480,37,17,0.17674687500000008,0.35135135135135137,0.7647058823529411,0.479248046875,0.5625,0.5625,0.5294117647058824,shoulder_width,4,13,0,True,True,True,True,True
ANSWER/FsFhk24qG9TZ9l7ar3xF.v17.npz,data/local/semlex_citizen100_train_audit/raw/ANSWER/FsFhk24qG9TZ9l7ar3xF.webm,,ANSWER,landscape,640,480,28,28,0.17086412500000048,1.0,1.0,0.775390625,0.90625,0.453125,0.8928571428571429,shoulder_width,16,28,0,True,True,True,True,True
ANSWER/OmhXpnv24PiReGTneCGi.v17.npz,data/local/semlex_citizen100_train_audit/raw/ANSWER/OmhXpnv24PiReGTneCGi.webm,,ANSWER,landscape,640,480,34,25,0.1745308750000003,0.5882352941176471,0.8,0.56689453125,0.6875,0.6875,0.68,shoulder_width,9,20,0,True,True,True,True,True
ANSWER/TGHG3Bl4tAKDEu3FBrPO.v17.npz,data/local/semlex_citizen100_train_audit/raw/ANSWER/TGHG3Bl4tAKDEu3FBrPO.webm,,ANSWER,landscape,640,480,68,36,0.351665208,0.47058823529411764,0.8888888888888888,0.806640625,0.90625,0.7421875,0.9166666666666666,shoulder_width,32,28,0,True,True,True,True,True
ANSWER/YXnIlDqkbiNfxK8kbO7c.v17.npz,data/local/semlex_citizen100_train_audit/raw/ANSWER/YXnIlDqkbiNfxK8kbO7c.webm,,ANSWER,landscape,640,480,43,36,0.24456962500000046,0.6744186046511628,0.8055555555555556,0.6162109375,0.90625,0.5234375,0.6944444444444444,shoulder_width,23,22,0,True,True,True,True,True
ANSWER/kOnVuopynJiTRIhcSORi.v17.npz,data/local/semlex_citizen100_train_audit/raw/ANSWER/kOnVuopynJiTRIhcSORi.webm,,ANSWER,landscape,1280,720,36,29,0.24663208299999972,0.6944444444444444,0.8620689655172413,0.74609375,0.5625,0.234375,0.3103448275862069,shoulder_width,19,25,0,True,True,True,True,True
