label,exact_normalized_occurrences,matched_glosses
I,0,
YOU,0,
WE,0,
THEY,0,
HE,0,
MY,0,
YOUR,0,
OUR,0,
WHAT,2,WHAT
WHERE,72,WHERE
WHEN,45,WHEN
WHO,138,WHO
WHY,50,WHY
HOW,42,HOW
HELLO,0,
GOODBYE,0,
PLEASE,0,
THANKYOU,0,
SORRY,11,SORRY
YES,4,YES
NO,0,
MAYBE,27,MAYBE
HELP,3,HELP
WANT,45,WANT
NEED,0,
LIKE,77,LIKE
LOVE,31,LOVE
KNOW,38,KNOW
UNDERSTAND,8,UNDERSTAND
THINK,35,THINK
FEEL,25,FEEL
HAVE,85,HAVE
GIVE,0,
TAKE,7,TAKE
COME,4,COME
GO,60,GO
STOP,11,STOP
WAIT,3,WAIT
TRY,5,TRY
USE,7,USE
MAKE,59,MAKE
FIND,0,
SEE,24,SEE
HEAR,26,HEAR
LISTEN,0,
TALK,26,TALK
TELL,4,TELL
ASK,10,ASK
ANSWER,7,ANSWER
LEARN,13,LEARN
WORK,100,WORK
READ,32,READ
WRITE,10,WRITE
EAT,24,EAT
DRINK,4,DRINK
WATER,11,WATER
SLEEP,4,SLEEP
GOOD,2,GOOD
BAD,14,BAD
HAPPY,0,
SAD,1,SAD
ANGRY,5,ANGRY
EXCITED,1,EXCITED
TIRED,7,TIRED
SICK,21,SICK
HUNGRY,0,
HOT,13,HOT
COLD,12,COLD
BIG,19,BIG
SMALL,17,SMALL
MORE,52,MORE
LESS,5,LESS
SAME,93,SAME
DIFFERENT,40,DIFFERENT
EASY,15,EASY
IMPORTANT,7,IMPORTANT
READY,7,READY
NOW,81,NOW
TOMORROW,33,TOMORROW
YESTERDAY,3,YESTERDAY
MORNING,6,MORNING
NIGHT,33,NIGHT
TIME,31,TIME
DAY,1,DAY
WEEK,0,
YEAR,16,YEAR
HOME,68,HOME
SCHOOL,56,SCHOOL
HOSPITAL,8,HOSPITAL
DOCTOR,0,
FAMILY,34,FAMILY
FRIEND,247,FRIEND
MOTHER,91,MOTHER
FATHER,53,FATHER
CHILD,0,
MAN,0,
WOMAN,0,
NAME,17,NAME
SIGN,7,SIGN
LANGUAGE,8,LANGUAGE
